1,0
1.87,0.1131
2.61,0.3979
3.32,0.8176
3.74,2.0924
4.31,3.3939
4.83,4.6011
5.03,6.8491
4.98,8.1996
5.06,8.4364
5.09,9.3419
5.04,9.9384
5.54,12.8684
5.74,15.4924
5.64,14.6504
5.36,14.0904
5.62,13.8156
5.69,15.6939
5.48,14.9896
5.16,14.6144
4.85,14.7075
4.73,15.1971
4.58,13.2036
4.54,13.0484
4.36,12.1304
4.2,10.3
4.29,11.2059
4.81,16.6139
4.95,17.4475
6.04,21.4984
6.27,22.0371
6.83,23.3811
6.36,21.7904
6.37,21.0131
7.57,22.5451
7.64,22.8704
7.82,22.8076
7.84,23.2944
7.36,23.2704
7.18,22.8676
6.76,22.2624
7.16,23.1144
8.14,23.9804
8.95,22.8875
8.84,22.2144
9.24,21.3424
9.75,19.7075
9.4,20.34
9.42,20.1036
9.89,18.8179
