194583, 195106
182239, 198131
194583, 198131
195106, 198131
195681, 198131
197776, 198131
198111, 198131
198120, 198131
198131, 207026
335257, 336519
335257, 349618
194583, 422657
422506, 422657
422506, 425919
195106, 426197
422657, 426197
425919, 426197
195681, 429635
429357, 429635
432139, 432416
197776, 441973
420712, 441973
422506, 441973
425919, 441973
429357, 441973
432139, 441973
441769, 441973
441940, 441973
441958, 441973
441769, 443116
198111, 443348
441940, 443348
198120, 443368
441958, 443368
198131, 443384
336519, 443384
349618, 443384
422657, 443384
426197, 443384
429635, 443384
432416, 443384
434979, 443384
441973, 443384
443116, 443384
443230, 443384
443348, 443384
443368, 443384
443380, 443384
443384, 445682
443384, 446191
198939, 446916
446704, 446916
443384, 524358
441973, 594147
198131, 764623
441973, 775608
443384, 775832
764623, 775832
775608, 775832
198131, 797692
443384, 798093
797692, 798093
198131, 978398
422506, 1057274
422657, 1057353
1057274, 1057353
425919, 1057939
1057274, 1057939
441973, 1060858
1057274, 1060858
1057939, 1060858
443384, 1061233
1057353, 1061233
1060858, 1061233
443384, 1502312
441973, 1589252
443384, 1589365
1589252, 1589365
