mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.83,0.1411,0.83, 0.1411
1.618,0.304077,1.23606, 0.0901372
2.431,0.477239,1.53561, 0.0728805
3.225,0.660374,1.77873, 0.0611233
3.956,0.87407,1.97306, 0.0630518
4.721,1.03716,2.15898, 0.0597974
5.425,1.21637,2.31606, 0.0608555
6.17,1.41909,2.47144, 0.061952
6.941,1.64352,2.62262, 0.0628141
7.617,1.90232,2.74801, 0.0653945
8.239,2.17987,2.85801, 0.0707376
8.841,2.58772,2.96005, 0.0790803
9.543,2.75014,3.07671, 0.0768323
10.143,3.10256,3.17206, 0.0810836
10.797,3.24181,3.27397, 0.0781627
11.4,3.45201,3.36488, 0.0776424
12.063,3.76302,3.46172, 0.0795056
12.634,4.17405,3.54268, 0.0834666
13.147,4.60739,3.61358, 0.0890638
13.691,5.06552,3.68742, 0.0939711
14.142,5.10784,3.74838, 0.0916821
14.675,5.75538,3.81772, 0.100032
15.25,5.4795,3.89341, 0.091345
15.878,5.61111,3.97337, 0.0903347
16.341,5.89072,4.03084, 0.0933074
16.736,5.91429,4.07983, 0.0910268
17.288,6.02106,4.1472, 0.0886946
18.022,6.60352,4.23419, 0.0935997
18.47,6.97311,4.2866, 0.095003
19.003,7.31699,4.34814, 0.0967205
19.541,7.7363,4.4091, 0.100767
20.064,7.9919,4.46805, 0.100528
20.565,8.3358,4.5235, 0.102974
21.114,9.18503,4.58291, 0.110936
21.538,9.46055,4.62882, 0.111998
21.915,9.71776,4.6692, 0.113573
22.599,10.1442,4.74176, 0.114652
22.943,9.83776,4.7785, 0.108899
23.223,10.6513,4.80697, 0.116098
23.651,10.3612,4.85184, 0.110716
24.19,10.6059,4.90697, 0.111723
24.598,11.1944,4.94798, 0.115515
24.863,11.1582,4.97479, 0.114481
25.199,11.0374,5.00878, 0.111251
25.528,11.0452,5.04163, 0.110083
26,11.004,5.0884, 0.108237
26.365,11.6378,5.12378, 0.112001
26.797,11.2897,5.16628, 0.106545
27.114,10.869,5.19729, 0.102293
27.663,11.8934,5.24918, 0.109149
28.078,12.6439,5.28806, 0.114513
28.193,13.6578,5.29802, 0.12409
28.455,13.408,5.32302, 0.120634
28.803,13.4842,5.35568, 0.11984
29.245,14.265,5.39634, 0.124631
29.668,14.9318,5.43505, 0.128326
30.013,15.1349,5.46666, 0.128761
30.464,14.4527,5.50842, 0.121425
30.787,15.1176,5.53727, 0.125684
31.086,14.7346,5.56462, 0.121118
31.316,15.5042,5.58474, 0.126745
31.557,15.1127,5.60665, 0.122563
31.914,14.8006,5.63872, 0.118929
32.237,14.3709,5.66769, 0.114367
32.544,14.9641,5.69442, 0.117655
32.607,15.7506,5.69943, 0.12351
33,15.438,5.73414, 0.119769
33.359,16.1041,5.76502, 0.123707
33.214,16.3502,5.75224, 0.125835
33.509,18.3079,5.7766, 0.139955
33.752,19.0845,5.79721, 0.144528
