mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.387,0.23723,0.387, 0.23723
0.791,0.469316,0.701959, 0.298251
1.166,0.706442,0.932247, 0.296909
1.613,1.01324,1.15394, 0.281422
2.03,1.1711,1.34007, 0.234192
2.42,1.3816,1.48488, 0.215111
2.847,1.5556,1.63162, 0.184807
3.248,1.8305,1.74889, 0.189358
3.647,1.86839,1.8599, 0.187758
4.106,1.93076,1.989, 0.14988
4.61,2.3019,2.11252, 0.147253
5.047,2.66078,2.21108, 0.158094
5.39,2.75389,2.28967, 0.147401
5.875,2.77737,2.39736, 0.127646
6.279,3.12916,2.47932, 0.131939
6.654,3.20027,2.55514, 0.125208
7.031,3.38605,2.62777, 0.12579
7.442,3.68862,2.70444, 0.127974
7.95,4.0215,2.7964, 0.130146
8.269,4.34063,2.85231, 0.133304
8.701,4.2576,2.92844, 0.125213
9.117,4.51332,2.99845, 0.126278
9.547,4.79181,3.06898, 0.128346
9.818,4.8629,3.11332, 0.125238
10.101,4.84481,3.15919, 0.120523
10.635,5.10781,3.24242, 0.121697
11.04,5.3644,3.30424, 0.12205
11.369,5.62484,3.35328, 0.124572
11.769,5.63564,3.41301, 0.120385
12.084,5.46695,3.45968, 0.114685
12.379,5.57736,3.50219, 0.113689
12.811,5.64927,3.56348, 0.112646
13.216,5.91135,3.61975, 0.113415
13.505,6.65399,3.65799, 0.124133
13.903,7.00362,3.71166, 0.126603
14.353,7.03038,3.77237, 0.122238
14.777,6.87927,3.82912, 0.114861
15.075,6.85539,3.86789, 0.114449
15.395,6.76298,3.90942, 0.111461
15.636,6.69346,3.94052, 0.10836
16.104,7.43713,3.99856, 0.115539
16.545,7.79399,4.05301, 0.11814
16.929,7.34398,4.10145, 0.107103
17.215,7.73677,4.13561, 0.111688
17.585,8.00477,4.1799, 0.113463
18.088,7.47226,4.2408, 0.103625
18.548,8.69369,4.29308, 0.117444
19.091,9.18669,4.35542, 0.12127
19.41,9.83589,4.39111, 0.128155
19.732,9.22618,4.42883, 0.117403
20.151,9.0742,4.47634, 0.113338
20.62,9.93161,4.52753, 0.121481
20.944,9.52487,4.56389, 0.114842
21.308,10.4011,4.6027, 0.12311
21.752,9.9205,4.65149, 0.115596
22.167,10.1391,4.69587, 0.115836
