mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.196,0.157585,0.196, 0.157585
0.38,0.3056,0.359498, 0.250764
0.581,0.465438,0.519404, 0.31122
0.808,0.641138,0.680428, 0.345015
0.973,0.80427,0.780801, 0.363346
1.131,0.873841,0.885186, 0.347442
1.345,1.04997,1.0048, 0.335381
1.516,1.17774,1.087, 0.33442
1.739,1.28688,1.19315, 0.315378
1.899,1.54681,1.24799, 0.341513
2.068,1.75538,1.31232, 0.345815
2.286,2.0362,1.39447, 0.341435
2.475,2.07538,1.46743, 0.321652
2.667,2.15011,1.53876, 0.299193
2.794,2.38557,1.57841, 0.302617
3.018,2.58368,1.65431, 0.281246
3.187,2.72602,1.69996, 0.297132
3.356,2.84926,1.74806, 0.300263
3.557,3.07277,1.8059, 0.295714
3.706,3.04356,1.84947, 0.285451
3.925,3.21937,1.91227, 0.268227
4.101,3.4288,1.95331, 0.285579
4.299,3.9556,1.99821, 0.306149
4.571,4.22695,2.06918, 0.289491
4.747,3.90899,2.11693, 0.265588
4.894,4.01276,2.15307, 0.258265
5.075,4.32137,2.19072, 0.275718
5.352,4.49411,2.25758, 0.255316
5.435,4.33979,2.28192, 0.227815
5.67,4.1851,2.3335, 0.224737
5.925,4.61937,2.3815, 0.253406
6.218,4.98447,2.44234, 0.252953
6.349,4.9072,2.46947, 0.250669
6.479,4.57759,2.50316, 0.213163
6.753,4.73799,2.5581, 0.209086
6.952,4.82369,2.59709, 0.207095
7.16,4.9904,2.63957, 0.192624
7.241,5.19292,2.65396, 0.197467
7.386,5.35899,2.68041, 0.20139
7.525,5.44937,2.70618, 0.201544
7.644,5.80326,2.72679, 0.208581
7.946,5.83309,2.7824, 0.204213
8.087,5.68144,2.80929, 0.194844
8.207,5.93415,2.82992, 0.198526
8.293,5.89716,2.8455, 0.196096
8.471,6.47916,2.87442, 0.208707
8.736,6.49229,2.92146, 0.201049
8.855,6.31196,2.94342, 0.191276
9.069,5.99426,2.98179, 0.177901
9.296,5.74438,3.0212, 0.168373
9.51,5.96194,3.05591, 0.171416
9.694,6.06238,3.08598, 0.170733
9.865,6.17074,3.11322, 0.172847
9.987,6.08484,3.13275, 0.172883
10.164,6.72111,3.1585, 0.187861
10.352,6.35411,3.19033, 0.173851
10.513,6.7198,3.2142, 0.181961
10.747,6.961,3.25002, 0.184412
10.925,7.36339,3.27625, 0.191227
11.173,8.51107,3.31004, 0.216689
11.342,8.50304,3.33635, 0.210804
11.529,8.57917,3.3647, 0.207845
11.747,9.149,3.39546, 0.217878
11.829,9.51775,3.40631, 0.226073
12.046,8.4579,3.44238, 0.196032
12.194,7.92436,3.46629, 0.178863
12.33,8.18109,3.48559, 0.180672
12.541,7.88831,3.51686, 0.172722
12.667,7.35408,3.53728, 0.154667
12.733,7.60171,3.5462, 0.157497
12.857,7.86855,3.56273, 0.163964
13.102,7.5156,3.5984, 0.153502
13.306,7.56038,3.62703, 0.15071
13.448,6.87528,3.64865, 0.135407
13.669,6.68744,3.67948, 0.130436
13.795,6.83496,3.69635, 0.13205
13.962,7.24857,3.71839, 0.135543
14.2,8.07201,3.74813, 0.151507
14.391,8.37411,3.77336, 0.152792
14.553,7.88516,3.79579, 0.144955
14.709,7.78228,3.81676, 0.141412
14.817,7.74551,3.83105, 0.140104
14.959,7.47332,3.85021, 0.134919
15.086,7.73259,3.8666, 0.135431
15.141,8.02713,3.87325, 0.138968
15.206,8.50557,3.88037, 0.148748
15.409,8.45574,3.90664, 0.147143
15.7,7.96802,3.94536, 0.134103
15.871,7.83635,3.96746, 0.130229
15.964,7.3707,3.98027, 0.121472
16.044,7.24007,3.99071, 0.118264
16.203,7.11378,4.0111, 0.114118
16.329,6.70077,4.02764, 0.10716
16.51,7.41995,4.04882, 0.117062
16.612,7.47548,4.06122, 0.118516
16.68,7.18559,4.07026, 0.112989
16.798,6.7852,4.08568, 0.105234
16.984,6.70776,4.10865, 0.102991
17.184,6.36414,4.13363, 0.0970508
17.297,6.97279,4.14623, 0.105768
17.346,7.68828,4.15077, 0.117073
17.578,7.9299,4.17841, 0.118832
17.817,8.0715,4.20685, 0.119386
17.971,8.36418,4.22462, 0.123509
18.242,8.74542,4.25619, 0.126811
18.525,9.69335,4.28797, 0.138285
18.786,10.5462,4.31711, 0.14851
18.852,10.8081,4.3242, 0.153253
18.873,11.4929,4.32549, 0.16314
19.16,11.4664,4.35899, 0.159143
19.38,11.8136,4.38397, 0.160744
19.588,12.1262,4.40745, 0.162329
19.626,12.4101,4.41129, 0.166487
19.895,14.1519,4.43927, 0.18788
20.238,13.9793,4.47836, 0.182226
20.513,14.5018,4.50856, 0.185851
20.815,14.7668,4.54177, 0.187343
20.977,13.4425,4.56153, 0.169436
21.042,13.9664,4.56797, 0.175688
21.082,13.3153,4.57326, 0.16732
21.186,13.5234,4.58433, 0.169884
21.285,13.0357,4.59602, 0.161553
21.613,12.7392,4.63222, 0.155552
22.089,11.5391,4.68526, 0.137344
22.31,11.1039,4.70949, 0.130721
22.476,10.9374,4.72728, 0.128815
22.664,11.1631,4.747, 0.13
23.058,11.4166,4.78836, 0.129629
23.227,11.6975,4.80577, 0.131667
23.566,11.2176,4.84167, 0.124261
23.728,11.0701,4.8586, 0.121978
24.145,10.582,4.9021, 0.114478
24.531,10.681,4.94138, 0.113769
24.57,10.9251,4.94518, 0.11521
24.752,11.0985,4.96348, 0.11588
25.028,11.2652,4.99125, 0.115544
25.198,12.1188,5.00742, 0.123885
25.273,11.8565,5.01527, 0.120184
25.535,12.4867,5.04077, 0.125748
25.72,12.6096,5.05912, 0.125401
25.821,12.8549,5.06884, 0.127881
25.768,13.0102,5.06351, 0.128901
25.853,14.6014,5.07044, 0.143676
25.989,15.0649,5.08348, 0.147233
26.164,15.1611,5.1007, 0.146942
26.197,14.9962,5.10416, 0.144616
26.134,14.9481,5.09806, 0.14381
25.971,15.4962,5.08151, 0.149369
26.248,14.6985,5.10962, 0.13984
26.336,13.8471,5.11913, 0.130601
26.357,13.4776,5.12153, 0.126955
26.589,13.4861,5.14425, 0.125764
26.752,14.1705,5.15958, 0.130873
26.999,13.823,5.18388, 0.126481
27.146,14.5308,5.1974, 0.133159
27.275,15.8414,5.20865, 0.145082
27.299,15.4176,5.21131, 0.141312
27.644,15.3793,5.24451, 0.139198
27.661,14.7721,5.24667, 0.133616
27.716,13.8253,5.25274, 0.12481
28.107,14.1056,5.28976, 0.125513
28.17,14.1511,5.29567, 0.125978
28.144,15.0953,5.29241, 0.134455
28.348,14.3469,5.31243, 0.126183
28.519,14.2097,5.32864, 0.124673
28.792,14.0706,5.35452, 0.121221
29.032,13.903,5.37716, 0.118286
29.24,15.6024,5.39521, 0.131861
29.404,14.5528,5.41125, 0.122472
29.379,15.0954,5.40851, 0.127128
29.63,15.1191,5.4317, 0.126723
29.629,14.3634,5.43221, 0.12024
29.749,14.048,5.44351, 0.117296
29.943,14.1158,5.4613, 0.117293
30.188,13.2866,5.48438, 0.109616
30.286,13.7602,5.49301, 0.112912
30.427,14.4086,5.50538, 0.117965
30.668,14.3758,5.52733, 0.116706
30.659,14.9907,5.52605, 0.121904
30.904,14.5048,5.54859, 0.117284
31.17,14.3071,5.57269, 0.115261
31.396,15.1813,5.59236, 0.121581
31.391,15.2561,5.59185, 0.122325
31.341,16.1487,5.58671, 0.129776
31.403,17.6486,5.59116, 0.142036
31.408,17.4035,5.59186, 0.13917
31.912,17.6043,5.63675, 0.139094
32.003,19.561,5.64352, 0.153819
32.297,20.7808,5.66877, 0.16222
32.376,21.0585,5.67557, 0.164032
