mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.493,0.24995,0.493, 0.24995
0.974,0.505321,0.833409, 0.279426
1.474,0.75932,1.10666, 0.249284
1.976,1.01342,1.32884, 0.210164
2.492,1.19793,1.5201, 0.181287
2.976,1.36743,1.68028, 0.152638
3.488,1.68785,1.82475, 0.158293
3.981,1.88464,1.95996, 0.139555
4.445,2.25296,2.07422, 0.142607
5.066,2.37564,2.22208, 0.128322
5.637,2.59723,2.34807, 0.123523
6.224,2.78185,2.47105, 0.117856
6.663,3.23743,2.55633, 0.128122
7.119,3.54484,2.64379, 0.12936
7.652,3.49689,2.74484, 0.117791
7.999,3.721,2.80703, 0.119559
8.528,3.73123,2.90098, 0.112245
9.096,4.08878,2.99703, 0.113771
9.708,4.34072,3.09742, 0.113986
10.194,4.37036,3.17579, 0.108335
10.701,4.50959,3.25505, 0.105646
11.24,4.78841,3.33661, 0.107085
11.518,4.98969,3.37775, 0.108855
12.096,5.21678,3.46232, 0.108409
12.554,5.47908,3.52785, 0.108328
12.863,5.43623,3.57165, 0.106357
13.232,6.12419,3.62157, 0.116256
13.787,6.05563,3.69822, 0.110227
14.188,5.97462,3.75284, 0.104194
14.635,5.71581,3.81289, 0.096877
15.186,6.4354,3.88343, 0.104959
15.742,6.52744,3.95441, 0.104658
16.266,6.40925,4.02064, 0.100446
16.671,6.91277,4.07021, 0.104378
17.209,7.41332,4.13525, 0.108699
17.709,7.6663,4.19517, 0.109508
18.175,8.11839,4.25006, 0.111995
18.654,8.26229,4.30621, 0.110564
19.167,9.02511,4.36457, 0.1175
19.755,10.157,4.43032, 0.127275
20.118,10.3361,4.47129, 0.125572
20.46,10.8084,4.50915, 0.127528
20.883,10.8753,4.55596, 0.126213
21.209,10.8434,4.59171, 0.125184
21.759,12.2949,4.6501, 0.135609
22.384,11.7626,4.71759, 0.128364
22.836,11.8291,4.76548, 0.126201
23.182,11.7029,4.80209, 0.121981
23.624,11.9707,4.84777, 0.123123
24.092,11.2815,4.89678, 0.113623
24.522,11.5815,4.9403, 0.115472
25.105,10.4079,5.00024, 0.102643
25.51,10.6699,5.04043, 0.104111
25.856,10.8212,5.07467, 0.103813
26.472,10.0832,5.13588, 0.0947764
27.166,10.3804,5.20293, 0.0955807
27.632,9.63057,5.24839, 0.0865136
28.066,10.4157,5.28905, 0.0920844
28.517,10.0837,5.33191, 0.0878661
28.845,10.537,5.36239, 0.0899495
29.143,10.7526,5.38998, 0.0912954
29.719,11.3081,5.4429, 0.0939815
30.33,12.3131,5.49816, 0.100424
30.684,11.8522,5.53069, 0.095684
31.305,13.174,5.5858, 0.103893
31.709,13.5784,5.62166, 0.106068
32.387,13.9692,5.68156, 0.106925
32.744,15.1625,5.71219, 0.114947
33.108,15.6784,5.74371, 0.117888
33.82,17.4676,5.80458, 0.126977
33.978,18.5095,5.81753, 0.13448
34.494,19.17,5.86156, 0.13625
35.003,17.277,5.90602, 0.122041
35.5,17.808,5.9477, 0.124943
35.767,17.7307,5.97019, 0.124047
36.033,16.5819,5.99307, 0.116228
36.464,17.6967,6.02844, 0.122027
36.958,18.8704,6.06868, 0.129282
37.153,19.3476,6.08456, 0.131278
37.59,17.9759,6.12122, 0.120684
38.23,18.015,6.17343, 0.118926
38.589,18.0281,6.20256, 0.117429
39.104,16.9671,6.24458, 0.109328
39.628,16.7896,6.28661, 0.106698
39.831,18.0584,6.30214, 0.114188
40.345,18.324,6.34277, 0.114371
41.003,19.045,6.39423, 0.117229
41.345,19.076,6.421, 0.116206
41.781,19.7351,6.45456, 0.11991
42.178,19.3783,6.48551, 0.116446
42.726,19.1509,6.52784, 0.113519
43.281,19.652,6.57013, 0.114611
44.052,21.5573,6.62785, 0.123822
44.363,22.2112,6.65111, 0.125919
44.784,22.5294,6.68265, 0.126308
44.868,22.6546,6.68893, 0.126271
45.308,23.1631,6.72158, 0.128499
45.815,23.7728,6.75909, 0.129809
46.224,23.5818,6.78941, 0.127854
46.626,24.7842,6.81859, 0.132872
47.053,25.4042,6.84971, 0.134672
47.633,25.4183,6.89204, 0.13297
48.301,24.6604,6.94071, 0.127679
48.88,25.6136,6.98207, 0.130842
49.355,26.291,7.01584, 0.133056
49.741,24.8799,7.04385, 0.125297
50.22,28.8736,7.07646, 0.14378
50.75,28.0275,7.11427, 0.137284
51.184,28.5962,7.14459, 0.138917
51.525,26.8714,7.16902, 0.130281
52.032,27.607,7.20408, 0.133265
52.229,26.8266,7.21809, 0.128341
52.628,27.5656,7.24553, 0.130386
52.785,26.7848,7.25664, 0.126219
53.039,27.1975,7.27405, 0.127249
53.899,28.0608,7.33283, 0.128821
54.351,29.2919,7.36333, 0.132532
54.571,31.413,7.37761, 0.142011
54.835,32.5698,7.39515, 0.14684
55.074,34.7065,7.41066, 0.156252
55.618,33.9781,7.4476, 0.151333
56.014,33.9037,7.47423, 0.149789
56.552,32.6993,7.5106, 0.142876
56.971,32.5842,7.53853, 0.141616
57.52,32.5656,7.57498, 0.13974
57.943,33.2537,7.60271, 0.141755
58.494,31.274,7.63946, 0.132573
58.717,31.3409,7.65405, 0.132613
59.457,32.4082,7.70197, 0.136589
60.106,32.1548,7.74407, 0.135327
60.534,34.1549,7.77117, 0.142887
61.044,36.5461,7.80332, 0.15211
61.589,33.388,7.8391, 0.137619
62.016,35.1437,7.86588, 0.143864
62.872,35.1936,7.92023, 0.141911
63.164,37.8212,7.93802, 0.151934
63.419,39.5955,7.95363, 0.15887
64.06,43.3963,7.99296, 0.172701
64.584,45.0828,8.02531, 0.178466
64.999,43.235,8.05166, 0.169767
