mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.172,0.142417,0.172, 0.142417
0.378,0.299116,0.359255, 0.248934
0.604,0.451185,0.545332, 0.306615
0.835,0.617775,0.707135, 0.33496
1.055,0.84998,0.833516, 0.360247
1.269,1.05464,0.950907, 0.364772
1.446,1.26909,1.03933, 0.365782
1.607,1.37254,1.12013, 0.352297
1.817,1.51151,1.21877, 0.331586
2.028,1.67921,1.31105, 0.309136
2.262,1.87336,1.39843, 0.306378
2.376,1.88863,1.44054, 0.300846
2.562,2.26416,1.49114, 0.338483
2.819,2.52823,1.57713, 0.331658
3.014,2.6638,1.64157, 0.319234
3.232,2.68817,1.71861, 0.278384
3.479,3.24559,1.77911, 0.313761
3.576,3.24823,1.80876, 0.304371
3.7,3.362,1.84001, 0.314373
3.996,3.31599,1.93509, 0.251397
4.272,3.26802,2.01073, 0.228936
4.439,3.10428,2.06, 0.195381
4.615,3.45076,2.09834, 0.211975
4.896,3.73515,2.16448, 0.211031
5.102,3.52759,2.21637, 0.189685
5.226,3.40092,2.24635, 0.179873
5.474,3.45131,2.30108, 0.179008
5.783,3.57992,2.36911, 0.170271
5.893,3.76755,2.39169, 0.172782
6.076,4.20022,2.42658, 0.187657
6.279,4.26716,2.46868, 0.184597
6.447,4.33319,2.50314, 0.181246
6.602,4.17959,2.53643, 0.16849
6.783,4.21592,2.5726, 0.164679
7.016,4.46374,2.61744, 0.164995
7.159,4.17572,2.64742, 0.150153
7.249,4.25101,2.66392, 0.152477
7.429,4.17895,2.69822, 0.148568
7.565,4.2698,2.72295, 0.150532
7.77,4.3391,2.76125, 0.145449
8.014,4.78578,2.80343, 0.154758
8.2,4.69,2.83756, 0.148208
8.444,4.87485,2.87994, 0.149942
8.659,4.86072,2.91809, 0.143716
8.737,5.19383,2.93001, 0.151999
8.893,5.62155,2.95473, 0.162556
9,5.836,2.9721, 0.166594
9.112,6.04144,2.99016, 0.170931
9.209,5.91532,3.00689, 0.167589
9.359,5.93212,3.03178, 0.167316
9.409,6.36773,3.03805, 0.179237
9.66,6.39839,3.08002, 0.173461
9.93,6.4951,3.12409, 0.170039
10.215,6.41077,3.17035, 0.163911
10.276,6.18784,3.18072, 0.159014
10.512,5.62786,3.22023, 0.142146
10.734,5.76124,3.25429, 0.143617
