mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.291,0.20632,0.291, 0.20632
0.601,0.435802,0.543593, 0.305508
0.889,0.62268,0.751673, 0.323986
1.231,0.90364,0.938133, 0.350902
1.591,1.09172,1.1317, 0.310241
1.887,1.23823,1.27155, 0.27016
2.149,1.4468,1.3679, 0.277832
2.454,1.53189,1.4905, 0.23239
2.74,1.58241,1.59613, 0.192344
3.01,1.8519,1.67319, 0.210429
3.298,2.05119,1.75763, 0.208719
3.538,2.18256,1.83018, 0.188416
3.741,2.26792,1.88703, 0.180121
4.051,2.6464,1.96505, 0.189565
4.367,2.85831,2.04713, 0.176241
4.745,3.24996,2.13531, 0.185441
5.067,3.73051,2.2077, 0.193049
5.427,3.8867,2.28979, 0.183862
5.768,3.84417,2.36567, 0.171556
6.102,4.0936,2.43483, 0.173555
6.276,4.60783,2.46771, 0.186365
6.571,4.66695,2.52781, 0.181146
6.732,4.93018,2.55856, 0.185742
7.115,5.09375,2.63336, 0.180351
7.298,5.00119,2.66935, 0.172563
7.613,5.12923,2.72807, 0.170602
7.894,5.40876,2.77876, 0.172452
8.196,5.50557,2.83266, 0.171987
8.388,5.69947,2.8663, 0.172307
8.643,6.10154,2.90802, 0.18638
8.76,5.89041,2.93002, 0.174929
9.072,5.87483,2.98443, 0.165175
9.288,6.43907,3.01849, 0.176678
9.591,6.40972,3.06943, 0.169595
9.968,6.60496,3.13056, 0.167592
10.325,7.29939,3.18545, 0.177926
10.589,8.38407,3.22381, 0.196041
10.882,9.37611,3.26651, 0.211918
11.018,8.56766,3.28983, 0.19506
11.29,8.7759,3.33055, 0.197449
11.36,8.6484,3.34185, 0.19208
11.697,9.00519,3.39157, 0.194259
12.059,9.5435,3.44392, 0.198416
12.363,10.4053,3.48663, 0.206462
12.697,11.3212,3.53254, 0.218167
12.864,11.2775,3.5568, 0.213205
13.374,12.1441,3.62638, 0.223378
13.953,13.5508,3.70308, 0.240166
14.351,12.9358,3.75844, 0.225149
14.837,13.7525,3.82182, 0.230674
15.183,12.3715,3.86991, 0.20679
15.366,12.81,3.89291, 0.211226
15.605,12.601,3.92435, 0.204467
16.067,12.7585,3.98323, 0.200886
16.545,13.676,4.04181, 0.208735
16.868,12.9666,4.08292, 0.197729
17.221,13.8141,4.12498, 0.205521
17.486,15.8939,4.1539, 0.231063
17.689,16.9043,4.17721, 0.239919
17.903,17.8456,4.20178, 0.24801
18.361,19.4046,4.25402, 0.264285
18.775,20.2464,4.30195, 0.268195
19.185,19.9148,4.35019, 0.260845
19.384,20.8285,4.37207, 0.269037
19.689,20.3103,4.40815, 0.257192
20.112,21.1234,4.45536, 0.261718
20.393,21.2526,4.48667, 0.262758
20.699,22.0324,4.52003, 0.268333
21.22,23.1116,4.57648, 0.275857
21.423,23.8841,4.598, 0.28141
21.724,26.1058,4.62872, 0.298923
21.939,27.8673,4.65, 0.316528
22.147,29.9794,4.66989, 0.339106
22.41,31.0019,4.69772, 0.341416
22.58,32.5196,4.71374, 0.36067
22.75,31.5735,4.73279, 0.350679
22.812,32.6407,4.73813, 0.362131
23.155,32.513,4.77485, 0.355855
23.585,34.2587,4.81849, 0.367192
23.711,34.7435,4.83128, 0.369742
24.354,32.7207,4.90067, 0.337456
24.82,34.6716,4.94642, 0.35294
24.69,34.3379,4.93355, 0.350169
24.607,34.1106,4.92551, 0.3464
24.987,35.1568,4.96327, 0.352964
25.177,35.6258,4.98188, 0.357937
25.217,35.8339,4.98592, 0.357571
25.547,37.8438,5.01751, 0.371619
25.902,40.6524,5.05057, 0.393841
26.288,44.4231,5.08527, 0.428121
26.636,47.0394,5.11756, 0.446697
