mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.227,0.175471,0.227, 0.175471
0.417,0.33111,0.391225, 0.263944
0.64,0.490403,0.57021, 0.31486
0.853,0.645389,0.717334, 0.338428
0.988,0.761853,0.801444, 0.345685
1.193,0.835752,0.942094, 0.305457
1.369,0.926837,1.04, 0.287389
1.593,1.12135,1.1448, 0.28242
1.753,1.242,1.21339, 0.280684
1.88,1.2456,1.28204, 0.236363
2.045,1.42898,1.33898, 0.252112
2.179,1.43495,1.3996, 0.220095
2.38,1.6316,1.46911, 0.221688
2.586,1.7126,1.54386, 0.202475
2.816,1.99414,1.6125, 0.215837
2.936,2.04791,1.64959, 0.214843
3.108,2.05634,1.70329, 0.206776
3.398,2.1796,1.78606, 0.20799
3.518,2.42968,1.81058, 0.239795
3.806,2.66036,1.88591, 0.249322
4.08,3.0896,1.95301, 0.265747
4.309,3.37151,2.01013, 0.268351
4.525,3.23938,2.07408, 0.22316
4.73,3.35311,2.1238, 0.219458
4.875,3.10737,2.16485, 0.188399
5.179,3.05496,2.23607, 0.178988
5.411,3.38809,2.2872, 0.179692
5.66,3.80839,2.34022, 0.183323
5.767,3.77471,2.36092, 0.193003
5.909,3.94471,2.39122, 0.191064
6.151,4.06616,2.44051, 0.1949
6.43,4.21109,2.49915, 0.184202
6.599,4.55823,2.52976, 0.199258
6.78,4.76359,2.56327, 0.209592
7.115,5.07575,2.62767, 0.210327
7.327,5.04007,2.66971, 0.199595
7.561,5.75029,2.70799, 0.227759
7.837,6.15242,2.75891, 0.225384
8.045,6.46097,2.79468, 0.234767
8.256,6.84647,2.83188, 0.236462
8.42,7.32161,2.85792, 0.252307
8.814,7.33941,2.92743, 0.244129
8.885,7.48375,2.93914, 0.24645
9.137,7.18222,2.98584, 0.221731
9.385,6.89282,3.02941, 0.207697
9.567,7.24752,3.05867, 0.21155
9.735,7.70077,3.08446, 0.221095
9.846,7.80228,3.10302, 0.217257
9.874,7.90214,3.10764, 0.216558
10.238,7.41934,3.16915, 0.194528
10.298,7.00519,3.18066, 0.181447
10.487,6.48581,3.21336, 0.161362
10.49,6.91796,3.21178, 0.174478
10.704,7.43638,3.24335, 0.18468
10.929,7.72197,3.2774, 0.187637
11.146,7.13074,3.31303, 0.169813
11.465,7.62878,3.35965, 0.177761
11.464,7.83469,3.35912, 0.180336
11.676,8.10703,3.39016, 0.18284
11.925,8.14539,3.42694, 0.181125
12.147,8.50137,3.45849, 0.185838
12.494,8.22996,3.50983, 0.175128
12.94,8.5564,3.57301, 0.173628
13.077,8.50307,3.59241, 0.171582
13.273,9.00846,3.61859, 0.178835
13.473,9.09328,3.64638, 0.176893
13.524,8.65142,3.65444, 0.169101
13.731,8.83263,3.68267, 0.168946
13.891,8.97711,3.70423, 0.169688
14.209,9.02334,3.74722, 0.167337
14.395,9.457,3.77114, 0.173523
14.546,8.99588,3.79255, 0.162574
14.701,8.90759,3.81314, 0.161003
14.903,8.43761,3.8409, 0.15049
15.225,8.03036,3.88404, 0.13924
15.513,8.1618,3.92119, 0.137309
15.825,8.27239,3.96078, 0.137221
16.262,8.00936,4.01666, 0.128419
16.645,8.11496,4.06435, 0.12602
16.806,8.58436,4.08337, 0.132073
16.983,9.17469,4.10415, 0.138946
17.185,8.89878,4.1293, 0.133835
17.516,9.01774,4.16928, 0.133039
17.676,9.57901,4.18746, 0.141135
17.779,9.45415,4.20009, 0.138229
17.937,9.413,4.21911, 0.136069
