mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.105,0.0939747,0.105, 0.0939747
0.183,0.16751,0.177728, 0.151412
0.304,0.273586,0.285841, 0.222297
0.386,0.349003,0.353685, 0.260906
0.49,0.467903,0.430554, 0.304623
0.646,0.608682,0.546004, 0.347883
0.739,0.716881,0.605682, 0.372148
0.862,0.818955,0.686524, 0.390683
0.943,0.905744,0.738269, 0.397959
1.041,0.951323,0.799618, 0.401609
1.125,1.05537,0.849436, 0.403455
1.224,1.10182,0.91233, 0.391651
1.37,1.1471,1.00052, 0.368955
1.52,1.2056,1.08539, 0.341925
1.603,1.19739,1.13225, 0.321004
1.687,1.23703,1.17467, 0.307137
1.837,1.31043,1.2373, 0.306081
1.962,1.47455,1.28567, 0.309029
2.101,1.6348,1.3339, 0.321708
2.186,1.7554,1.36836, 0.313592
2.274,1.77892,1.39888, 0.317111
2.358,1.89783,1.42875, 0.316664
2.429,1.94496,1.4569, 0.306418
2.528,2.04522,1.49081, 0.305467
2.697,1.98719,1.55875, 0.267296
2.787,2.07363,1.58498, 0.274838
2.869,2.04784,1.6176, 0.252351
2.919,2.08645,1.63094, 0.259028
3.075,2.20937,1.67343, 0.274611
3.179,2.23695,1.70403, 0.275264
3.285,2.37178,1.73759, 0.265777
3.347,2.22659,1.76276, 0.239663
3.475,2.24138,1.80077, 0.232233
3.573,2.41069,1.82937, 0.226404
3.707,2.54915,1.85956, 0.24902
3.812,2.38667,1.8959, 0.217551
3.915,2.47178,1.9225, 0.218995
4.018,2.52168,1.95028, 0.214392
4.17,2.56509,1.98979, 0.210735
4.274,2.56493,2.01648, 0.207788
4.49,2.6419,2.07359, 0.190228
4.625,2.73237,2.10381, 0.198968
4.694,3.07238,2.1144, 0.223295
4.827,3.20508,2.14368, 0.23164
4.943,3.64973,2.16217, 0.268033
5.076,3.88822,2.18862, 0.285921
5.211,3.98647,2.22011, 0.282097
5.298,4.3552,2.23969, 0.281756
5.379,4.25136,2.26526, 0.2476
5.442,4.44663,2.27652, 0.259447
5.535,4.79278,2.29098, 0.286398
5.59,4.93591,2.29972, 0.301251
5.667,4.81608,2.31834, 0.292274
5.778,5.22671,2.34006, 0.302103
5.903,5.3396,2.37372, 0.268429
5.93,5.4091,2.38039, 0.263701
6.051,5.54038,2.40404, 0.271539
6.12,5.58359,2.41975, 0.264779
6.32,5.22559,2.46601, 0.238772
6.401,5.54821,2.48037, 0.248737
6.547,5.9538,2.5072, 0.260942
6.757,6.22597,2.54847, 0.262249
6.68,6.44161,2.53176, 0.270177
6.75,6.3795,2.54732, 0.261147
6.941,6.37951,2.58676, 0.249633
7.09,7.14992,2.61151, 0.269987
7.25,7.3155,2.64172, 0.271303
7.41,7.44391,2.6711, 0.275208
7.444,7.47285,2.67756, 0.274669
7.612,8.17947,2.70502, 0.29487
7.834,8.78841,2.74242, 0.313095
7.905,8.41596,2.75753, 0.301
8.282,9.0865,2.82484, 0.302244
8.528,9.20923,2.86839, 0.300336
8.583,9.15707,2.87925, 0.292912
8.575,9.7724,2.8745, 0.312254
8.785,9.95276,2.91104, 0.310825
8.895,9.61596,2.93238, 0.296133
8.942,9.17462,2.94273, 0.282335
8.846,8.44029,2.93015, 0.260198
8.999,8.245,2.95746, 0.25242
9.19,8.31589,2.989, 0.255898
9.426,8.28454,3.02743, 0.260672
9.576,8.47022,3.05223, 0.259897
9.74,8.76436,3.07861, 0.262195
9.692,9.92113,3.06464, 0.299948
9.724,10.5579,3.06711, 0.316848
9.73,11.0031,3.06328, 0.346267
10.008,10.5519,3.1129, 0.317855
10.184,10.9682,3.13992, 0.324894
10.326,10.1137,3.16724, 0.294604
10.52,9.96963,3.19904, 0.286158
10.468,10.273,3.18913, 0.297456
10.436,10.9459,3.18051, 0.320364
10.515,11.3378,3.19127, 0.330775
10.666,12.0864,3.21171, 0.350937
10.718,12.4885,3.21862, 0.358483
10.759,12.4629,3.22627, 0.350217
