mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.303,0.211192,0.303, 0.211192
0.609,0.43812,0.550421, 0.306036
0.902,0.672394,0.747099, 0.343841
1.228,0.87002,0.94885, 0.32768
1.483,1.0837,1.08007, 0.31645
1.83,1.32309,1.23158, 0.313211
2.199,1.5834,1.38084, 0.29227
2.587,1.73643,1.52764, 0.253294
2.868,1.89057,1.6272, 0.220217
3.142,2.00183,1.71557, 0.198806
3.348,2.37089,1.77105, 0.211359
3.65,2.57151,1.8516, 0.221561
3.964,2.62069,1.94231, 0.19143
4.249,2.90301,2.01231, 0.199599
4.428,3.14681,2.05473, 0.206064
4.648,3.49211,2.10118, 0.23303
4.916,3.85896,2.16047, 0.248331
5.225,3.63238,2.23637, 0.22364
5.495,3.7,2.29942, 0.207641
5.76,3.90241,2.35722, 0.203495
5.988,4.15186,2.40552, 0.201423
6.41,4.78791,2.4897, 0.211361
6.718,5.27649,2.54874, 0.22192
6.997,5.45299,2.60402, 0.216027
7.253,5.489,2.65428, 0.207745
7.481,5.52763,2.69726, 0.205749
7.803,6.20818,2.753, 0.223985
8.162,6.08375,2.82039, 0.207367
8.347,6.1726,2.85358, 0.204087
8.763,6.40285,2.92599, 0.201563
8.991,6.71892,2.96393, 0.206137
9.285,6.79378,3.01389, 0.201451
9.687,6.66505,3.08168, 0.190231
9.922,6.51989,3.12086, 0.18228
10.272,6.74402,3.17705, 0.178375
10.59,6.97191,3.22704, 0.176237
10.894,7.18875,3.27405, 0.174585
11.045,7.08498,3.29797, 0.168389
11.551,7.40341,3.37397, 0.16735
11.732,7.46218,3.40094, 0.165622
12.098,7.32639,3.4556, 0.15688
12.413,7.13643,3.50209, 0.14839
12.628,7.19562,3.53268, 0.148204
12.886,7.11504,3.56979, 0.142603
13.165,7.51378,3.60799, 0.147411
13.422,7.35391,3.64431, 0.140991
13.585,7.62478,3.66607, 0.144939
13.861,7.3817,3.70438, 0.138591
14.071,7.66197,3.73239, 0.140317
14.392,8.05234,3.77456, 0.144741
14.613,7.73523,3.80495, 0.135358
14.965,7.99178,3.85074, 0.136791
15.333,8.25608,3.89798, 0.13876
15.543,8.61615,3.92422, 0.143518
15.868,8.79257,3.96552, 0.142637
16.203,9.27776,4.00698, 0.147081
16.507,9.84595,4.04396, 0.153388
16.69,10.5259,4.0654, 0.162576
16.822,11.6303,4.07969, 0.178176
17.095,11.948,4.11287, 0.179289
17.597,11.8526,4.17417, 0.173289
18.071,12.044,4.23061, 0.172933
18.413,11.8464,4.27148, 0.167485
18.729,12.1235,4.30823, 0.168119
18.912,12.6142,4.32873, 0.174094
19.292,11.7987,4.37425, 0.157959
19.738,11.5154,4.42592, 0.149178
20.022,11.7635,4.45776, 0.150343
20.456,12.2481,4.50595, 0.152393
20.712,13.0131,4.53337, 0.160588
20.81,14.4139,4.5423, 0.177527
21.082,14.9613,4.57169, 0.181683
21.29,15.0599,4.59445, 0.181066
21.582,15.5573,4.62569, 0.184972
21.837,16.4364,4.65228, 0.193253
22.057,16.9958,4.67532, 0.198423
22.58,17.6696,4.73038, 0.203572
22.942,18.2526,4.76816, 0.206717
23.074,18.5845,4.78169, 0.209499
23.523,18.1715,4.82915, 0.202349
23.7,18.676,4.84722, 0.204527
24.01,19.1499,4.87871, 0.208164
24.124,19.3367,4.89046, 0.207436
24.314,19.6354,4.90974, 0.208464
24.352,20.4921,4.91286, 0.215913
24.576,20.2502,4.93603, 0.21171
24.93,20.1491,4.9722, 0.207264
25.19,20.6659,4.99804, 0.209633
25.645,19.771,5.04464, 0.196672
26.133,19.6073,5.09326, 0.191707
26.362,19.5309,5.11588, 0.189855
26.69,19.9459,5.14772, 0.19104
26.778,20.7767,5.15566, 0.197162
27.027,19.6063,5.18096, 0.18478
27.398,20.2796,5.21627, 0.188568
27.636,20.7535,5.23885, 0.190437
27.935,20.5848,5.26769, 0.186483
28.029,20.2002,5.27709, 0.181388
28.192,19.8251,5.29296, 0.176643
28.409,20.7417,5.31277, 0.183596
28.451,21.1216,5.31642, 0.186733
28.84,21.4944,5.35279, 0.187659
29.106,23.0988,5.37646, 0.19979
29.438,21.8381,5.40845, 0.186755
29.598,22.5064,5.42284, 0.190912
29.86,22.0244,5.44747, 0.185152
30,21.678,5.46062, 0.181658
