mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.195,0.156975,0.195, 0.156975
0.375,0.298375,0.356255, 0.248085
0.585,0.436773,0.530136, 0.303954
0.816,0.580144,0.697396, 0.329637
1.036,0.658703,0.851767, 0.310489
1.222,0.772713,0.961964, 0.296619
1.387,0.959236,1.04197, 0.30128
1.62,1.0396,1.15995, 0.274507
1.804,1.23558,1.23327, 0.283041
1.934,1.41564,1.28439, 0.284339
2.109,1.42511,1.36781, 0.238074
2.294,1.48556,1.43972, 0.221203
2.533,1.57692,1.52362, 0.211573
2.695,1.68597,1.5766, 0.209308
2.95,1.71949,1.66141, 0.189716
3.167,1.9331,1.72624, 0.187077
3.342,2.15503,1.77444, 0.193341
3.511,2.30388,1.81727, 0.208523
3.706,2.43556,1.87494, 0.190597
3.91,2.46789,1.93213, 0.176874
4.159,2.79772,1.99167, 0.192251
4.324,2.89902,2.03576, 0.179685
4.409,3.18772,2.05286, 0.194741
4.64,3.39641,2.1086, 0.1938
4.801,3.46939,2.14612, 0.195153
4.85,3.2555,2.16082, 0.180829
5.001,3.321,2.19547, 0.180882
5.125,3.50338,2.22272, 0.184499
5.31,3.7119,2.26346, 0.186743
5.516,3.91976,2.30766, 0.190687
5.633,3.81831,2.33441, 0.183509
5.819,3.61623,2.37721, 0.167859
6.072,3.97481,2.42853, 0.174225
6.241,4.13492,2.46244, 0.177366
6.456,4.13207,2.50725, 0.169675
6.607,4.22456,2.53717, 0.169716
6.914,4.16461,2.59898, 0.159288
7.08,4.46359,2.62922, 0.167142
7.242,4.41343,2.6615, 0.1584
7.431,4.42524,2.6976, 0.153945
7.685,4.81176,2.7429, 0.161474
7.936,4.60989,2.79007, 0.151458
8.198,4.83082,2.83556, 0.157568
8.378,4.91112,2.86693, 0.158701
8.495,5.186,2.88569, 0.167774
8.927,5.4397,2.96056, 0.162039
9.179,6.01096,3.00033, 0.177041
9.509,6.20391,3.05511, 0.175274
9.705,5.92799,3.08948, 0.160139
9.836,6.28511,3.10899, 0.170188
10.009,7.10492,3.1336, 0.189526
10.265,7.00477,3.1755, 0.181195
10.362,7.05296,3.19115, 0.178577
10.524,6.87542,3.21772, 0.170307
10.628,6.89362,3.23401, 0.169168
10.944,6.97287,3.28335, 0.163627
11.17,7.27512,3.31681, 0.168791
11.433,7.50951,3.35597, 0.170466
11.633,7.61432,3.38546, 0.171704
11.655,7.53198,3.38955, 0.165985
11.811,7.89728,3.41142, 0.173245
11.803,7.4862,3.41197, 0.161463
11.791,7.41731,3.41067, 0.15836
11.808,7.16313,3.41409, 0.152018
11.953,7.53282,3.4342, 0.159276
12.072,6.65884,3.45447, 0.13869
12.25,6.6195,3.4805, 0.136192
12.483,6.80572,3.51354, 0.138075
12.761,6.97988,3.55285, 0.138274
12.944,7.14287,3.57839, 0.139197
13.117,7.0153,3.60314, 0.134388
13.436,7.16589,3.64702, 0.135317
13.7,7.51201,3.68232, 0.140553
13.889,7.49869,3.70837, 0.137018
14.198,8.08675,3.74872, 0.14514
14.412,8.64225,3.776, 0.153871
14.437,9.31803,3.77783, 0.165055
14.597,9.4386,3.79905, 0.164256
14.758,10.2594,3.81844, 0.177496
14.937,9.67099,3.84338, 0.165404
15.025,9.40634,3.85566, 0.15886
15.348,9.33689,3.89783, 0.154917
15.428,9.4388,3.90766, 0.158212
15.554,9.43108,3.92373, 0.158376
15.57,9.3011,3.92628, 0.154325
15.827,9.24107,3.95937, 0.150385
16.053,9.7882,3.98703, 0.156622
16.223,10.0133,4.00783, 0.160311
16.421,9.78374,4.03316, 0.154625
16.614,9.897,4.05692, 0.155379
16.83,11.2691,4.08075, 0.177521
16.927,11.2916,4.09264, 0.177293
16.984,12.0157,4.09796, 0.190716
17.305,11.456,4.13892, 0.174292
17.449,10.8054,4.15762, 0.163184
17.609,11.8701,4.17481, 0.179969
17.606,11.8668,4.17454, 0.179144
17.726,12.1009,4.18853, 0.182174
17.919,12.9704,4.21015, 0.193585
18.055,14.278,4.22435, 0.209778
18.114,15.385,4.2298, 0.222714
18.279,16.2292,4.24802, 0.233303
18.363,17.1513,4.25612, 0.248427
18.778,19.0707,4.3021, 0.269962
18.884,20.7145,4.31215, 0.289314
19.086,20.6206,4.33631, 0.282373
19.412,19.7043,4.37591, 0.263376
19.716,20.0713,4.41038, 0.26453
19.96,18.8905,4.44014, 0.24514
20.291,19.9103,4.47632, 0.253541
20.464,20.8687,4.49434, 0.264951
20.475,20.9214,4.49569, 0.263789
20.825,20.1924,4.53621, 0.247752
20.803,19.5882,4.53485, 0.238095
20.971,20.1681,4.55251, 0.245651
21.326,19.9237,4.59226, 0.237177
21.788,19.779,4.6429, 0.231522
22.137,20.0742,4.68053, 0.229686
22.243,20.5739,4.69139, 0.233862
22.489,22.0979,4.71588, 0.249495
22.833,22.325,4.75197, 0.251813
23.194,23.3824,4.78883, 0.261099
23.289,22.0056,4.80032, 0.245979
23.411,23.1341,4.81188, 0.256866
23.648,23.8241,4.83596, 0.261467
23.814,25.2994,4.85176, 0.274485
23.99,23.7519,4.87206, 0.253031
24.019,25.0506,4.87335, 0.269432
24.47,24.3571,4.92129, 0.25095
24.635,24.9057,4.93787, 0.252489
25.023,24.0705,4.97838, 0.238744
24.951,23.3826,4.97188, 0.231437
24.951,24.3666,4.97101, 0.240152
25.239,25.1839,4.99963, 0.242658
25.449,25.8174,5.02002, 0.248366
25.661,27.2961,5.03975, 0.261947
25.703,26.2988,5.04505, 0.250485
25.955,27.573,5.06903, 0.259942
26.185,28.2688,5.09121, 0.264656
26.109,29.0771,5.08277, 0.274459
26.487,30.1118,5.11945, 0.278279
26.723,31.5822,5.14103, 0.292871
27.02,33.4856,5.16841, 0.307594
27.146,36.5725,5.17786, 0.335823
26.951,35.0907,5.16025, 0.32285
27.063,32.3511,5.1736, 0.29699
27.191,32.2866,5.18615, 0.294934
