mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.272,0.198017,0.272, 0.198017
0.588,0.414253,0.537622, 0.298961
0.892,0.604332,0.752018, 0.326466
1.144,0.747262,0.908829, 0.318023
1.449,0.929395,1.07345, 0.296701
1.742,1.11543,1.21172, 0.273721
1.989,1.26688,1.31499, 0.259778
2.233,1.43871,1.41, 0.244883
2.548,1.7437,1.523, 0.228443
2.819,1.95424,1.61062, 0.22489
3.159,2.26371,1.71347, 0.223018
3.483,2.38772,1.8116, 0.201103
3.694,2.48037,1.86981, 0.19781
4.032,2.65097,1.95867, 0.195617
4.354,2.63068,2.0465, 0.165822
4.594,2.69915,2.10426, 0.166063
4.898,3.07759,2.17369, 0.173054
5.294,3.39356,2.26243, 0.175408
5.616,3.66055,2.33318, 0.172236
5.865,3.75279,2.38689, 0.167717
6.143,4.29455,2.44084, 0.185281
6.448,4.84128,2.50025, 0.196709
6.725,4.86137,2.55622, 0.190716
6.796,4.62637,2.57335, 0.17384
7.088,4.58027,2.63105, 0.165516
7.423,4.51607,2.6954, 0.157762
7.808,5.02513,2.76391, 0.168793
8.114,5.35503,2.81771, 0.174461
8.408,5.63954,2.86924, 0.175426
8.8,5.748,2.93726, 0.172491
9.121,5.68237,2.99259, 0.165412
9.46,6.0604,3.04767, 0.171729
9.871,5.93835,3.11607, 0.161135
10.201,5.84459,3.1699, 0.152742
10.443,6.40674,3.20614, 0.163683
10.777,6.22926,3.25961, 0.151995
11.033,6.2359,3.29923, 0.148097
11.379,6.88937,3.34958, 0.159366
11.58,6.67362,3.38049, 0.152353
11.837,6.70442,3.41873, 0.149283
12.293,6.51316,3.48635, 0.138406
12.652,6.47889,3.53824, 0.132914
12.956,6.86207,3.58034, 0.137184
13.215,7.40277,3.61505, 0.146471
13.613,7.44524,3.67032, 0.141771
13.812,7.38261,3.6976, 0.139775
14.071,6.82197,3.73415, 0.127111
14.473,6.67127,3.78861, 0.119464
14.822,6.79433,3.83474, 0.116771
15.068,6.99537,3.86659, 0.117486
15.384,6.87254,3.90783, 0.112919
15.664,6.64509,3.94428, 0.106678
15.806,7.31835,3.96107, 0.115932
16.109,7.56112,3.99899, 0.117017
16.491,8.39393,4.04542, 0.12559
16.786,8.56021,4.08169, 0.125811
16.996,8.50599,4.10767, 0.122997
17.584,8.93691,4.17848, 0.124307
18.038,9.62456,4.23162, 0.131363
18.308,10.4471,4.2622, 0.141687
18.715,10.5878,4.30985, 0.140159
19.126,11.4601,4.35634, 0.148247
19.414,12.2466,4.38849, 0.155111
19.627,12.8059,4.41204, 0.160857
19.943,12.3878,4.44861, 0.152895
20.154,12.8623,4.47176, 0.157342
20.405,13.285,4.49948, 0.159696
20.605,12.8891,4.5221, 0.155643
20.961,13.1455,4.56121, 0.156304
21.266,13.2852,4.59466, 0.155081
21.41,13.5079,4.61009, 0.157107
21.496,13.808,4.61908, 0.160061
21.765,13.8878,4.64821, 0.159165
21.977,14.4405,4.67044, 0.163993
22.161,13.9751,4.69092, 0.156315
22.561,14.8142,4.73274, 0.162149
22.716,15.0253,4.74895, 0.163513
22.897,15.1904,4.76799, 0.163294
23.202,15.0112,4.80019, 0.160154
23.543,15.6882,4.83503, 0.16551
23.685,17.0698,4.84843, 0.17771
24.226,17.5909,4.90372, 0.179574
24.548,17.0697,4.9373, 0.171114
24.776,17.2758,4.96038, 0.170706
25.052,15.9973,4.98949, 0.157027
25.338,15.7058,5.01847, 0.15298
25.456,16.6501,5.02923, 0.162913
25.636,18.0795,5.04589, 0.175079
25.939,18.6293,5.07564, 0.176862
26.441,17.6145,5.1261, 0.164098
26.574,17.1805,5.13959, 0.158698
26.857,17.4606,5.16696, 0.159568
27.037,16.9437,5.18491, 0.153739
27.306,16.1444,5.21164, 0.144951
27.507,14.26,5.23254, 0.127597
27.914,13.7786,5.27177, 0.122474
28.233,15.1747,5.30095, 0.133004
28.525,15.3233,5.3285, 0.13214
28.964,14.0847,5.3707, 0.119622
29.08,12.7356,5.38255, 0.108267
29.258,12.7555,5.39911, 0.107749
29.505,13.536,5.4214, 0.1136
29.965,12.6458,5.4644, 0.105433
30.221,12.2661,5.48816, 0.101311
30.491,12.3579,5.51271, 0.101159
30.819,14.4102,5.5411, 0.115311
31.212,15.281,5.57604, 0.119826
31.529,15.9632,5.60406, 0.123653
31.627,16.8698,5.61222, 0.130088
32.209,17.7154,5.66351, 0.13369
32.35,19.0075,5.67525, 0.141669
32.703,19.2788,5.70617, 0.142705
33.237,20.1869,5.75238, 0.147224
33.701,20.4396,5.79261, 0.146724
34.227,21.4354,5.83739, 0.15202
34.658,21.713,5.87416, 0.152302
34.821,22.6309,5.88741, 0.159471
34.931,22.4242,5.89695, 0.157091
35.608,24.1383,5.9533, 0.166324
36.048,24.5257,5.99011, 0.166701
36.161,22.3511,6.00078, 0.151705
36.601,24.1998,6.0364, 0.162871
36.87,23.5432,6.05912, 0.157157
37.331,24.3194,6.09679, 0.160211
37.529,24.7452,6.11276, 0.163337
37.943,25.5018,6.14626, 0.166734
38.064,25.2759,6.1562, 0.165492
38.544,24.0561,6.19589, 0.155055
39.011,25.5729,6.23283, 0.162998
39.171,25.5598,6.24558, 0.163819
39.406,26.0672,6.26415, 0.16661
39.758,28.0114,6.29124, 0.178518
40.08,28.2596,6.31676, 0.178811
40.378,29.0071,6.33997, 0.182934
40.316,28.9461,6.33507, 0.18316
40.629,29.7974,6.35936, 0.187787
40.979,28.8305,6.38751, 0.178894
40.895,27.728,6.3814, 0.172982
41.06,28.1844,6.39409, 0.17589
41.43,27.9951,6.42321, 0.172515
41.843,28.1923,6.45523, 0.173125
41.84,28.6824,6.45472, 0.176684
42.046,27.7599,6.47116, 0.170245
42.286,30.4762,6.48846, 0.185953
42.549,32.2475,6.50803, 0.194656
43.014,31.8237,6.54401, 0.1901
43.504,33.402,6.58078, 0.197418
43.882,32.068,6.61023, 0.186994
44.241,33.0609,6.63702, 0.191119
44.476,34.4294,6.65419, 0.197784
44.66,34.3424,6.6681, 0.196699
45.116,33.5365,6.70261, 0.191128
45.297,32.5108,6.71656, 0.184951
45.685,30.9837,6.74612, 0.175011
45.827,31.761,6.75636, 0.17873
45.803,31.5242,6.75466, 0.177813
46.246,30.8254,6.78776, 0.172551
46.584,29.2152,6.81345, 0.161114
46.716,27.7953,6.82374, 0.15277
46.882,27.0381,6.83627, 0.147595
47.503,30.084,6.88053, 0.161474
47.976,31.1595,6.91454, 0.165273
48.341,31.5227,6.94083, 0.165938
48.54,30.9603,6.95541, 0.162386
48.718,30.6824,6.96829, 0.161123
49.455,31.462,7.02083, 0.16301
49.801,30.6134,7.04581, 0.157745
50.194,30.5524,7.07375, 0.156213
50.637,30.8672,7.10494, 0.157075
50.964,32.9567,7.12718, 0.167457
51.452,32.6597,7.1615, 0.164975
51.756,33.8664,7.18244, 0.168719
51.928,36.1948,7.19358, 0.180512
52.539,36.1164,7.23607, 0.178334
52.656,37.9297,7.24357, 0.186719
52.685,39.8397,7.24492, 0.196208
52.951,42.2426,7.26249, 0.207314
53.268,40.1541,7.28512, 0.195086
53.124,41.6406,7.27468, 0.20319
53.607,43.7326,7.30729, 0.21063
53.793,45.0502,7.31959, 0.216656
54.139,44.4837,7.34338, 0.213885
54.615,45.9328,7.37543, 0.218148
55.053,42.4442,7.40633, 0.19922
55.123,45.544,7.41015, 0.212723
55.369,47.2468,7.42624, 0.219928
55.426,47.0125,7.43009, 0.219831
56.343,44.9074,7.49237, 0.207448
56.565,45.6158,7.50699, 0.210104
56.73,48.6151,7.51706, 0.223781
57.237,48.5468,7.55081, 0.222375
57.205,47.7451,7.54891, 0.218947
57.777,47.5733,7.58687, 0.216386
57.955,47.1551,7.59886, 0.212234
58.326,50.0357,7.6225, 0.223392
58.615,49.6688,7.64165, 0.220182
59.206,47.3616,7.68102, 0.20794
59.276,50.2,7.68481, 0.21982
59.33,51.1951,7.68808, 0.223453
59.6,53.3941,7.70504, 0.232232
59.75,52.4995,7.71508, 0.227493
60.341,56.0727,7.7524, 0.241363
60.593,55.9914,7.7687, 0.240387
61.092,52.8875,7.80173, 0.225021
61.262,51.9494,7.81291, 0.220517
61.657,52.9554,7.83792, 0.22406
61.833,52.9551,7.84914, 0.224181
62.303,50.1972,7.87987, 0.210699
62.634,53.1201,7.9001, 0.222543
62.956,53.01,7.92063, 0.219771
62.879,54.8665,7.91532, 0.226804
63.15,54.5576,7.93254, 0.224893
63.3,53.5959,7.94233, 0.219607
63.868,51.3626,7.9787, 0.208478
63.992,53.116,7.986, 0.215952
64.185,56.4608,7.99725, 0.229235
64.927,54.9635,8.04397, 0.221734
65.05,55.9054,8.05142, 0.224782
65.382,52.0021,8.07307, 0.207813
65.888,52.2935,8.10438, 0.207272
66.614,51.571,8.14935, 0.202351
66.885,52.3879,8.16586, 0.204041
67.223,54.9353,8.18603, 0.212208
67.529,56.6152,8.20426, 0.219405
67.771,57.9505,8.21871, 0.22413
68.186,55.8973,8.24451, 0.214315
68.154,54.2643,8.243, 0.207001
68.216,56.4354,8.24627, 0.215156
68.501,56.602,8.26365, 0.213337
69.086,53.5208,8.29974, 0.200432
69.194,50.9144,8.30689, 0.189725
69.216,50.2355,8.30841, 0.186504
69.695,47.24,8.33795, 0.173676
70.111,46.5527,8.36305, 0.1706
70.416,44.0568,8.38186, 0.160674
70.903,40.0475,8.41175, 0.145651
71.227,40.9355,8.43082, 0.148231
71.487,38.7858,8.44671, 0.140166
72.168,38.0755,8.48717, 0.135902
72.734,36.4352,8.52081, 0.129868
72.778,37.5188,8.52315, 0.133957
72.661,40.9141,8.51553, 0.14679
72.792,42.6207,8.52286, 0.152829
73.122,42.6372,8.54223, 0.152229
