mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.391,0.238117,0.391, 0.238117
0.775,0.484374,0.684202, 0.306869
1.214,0.724204,0.959559, 0.293239
1.61,0.985898,1.15132, 0.284462
1.974,1.22933,1.304, 0.273574
2.365,1.46377,1.45934, 0.235321
2.719,1.85605,1.57178, 0.248487
3.161,2.05108,1.71622, 0.215582
3.483,2.23572,1.81021, 0.206144
3.787,2.44964,1.89241, 0.205788
4.163,2.82043,1.98774, 0.211868
4.598,3.05439,2.09659, 0.202282
4.908,3.25554,2.1711, 0.194289
5.277,3.46627,2.25577, 0.188457
5.646,3.61866,2.33904, 0.174841
6.023,3.76248,2.41853, 0.173655
6.375,4.08437,2.48937, 0.177981
6.664,4.27509,2.5471, 0.176226
6.904,4.62478,2.592, 0.185499
7.26,4.26041,2.6645, 0.160416
7.538,4.65455,2.71473, 0.168193
7.843,4.80235,2.77014, 0.1693
8.131,4.48984,2.82555, 0.147207
8.553,4.85718,2.89845, 0.15196
8.88,4.91159,2.95516, 0.147017
9.219,4.929,3.01304, 0.140583
9.458,5.25826,3.05172, 0.145013
9.795,6.02696,3.10418, 0.159073
10.044,6.72606,3.14169, 0.173789
10.505,6.76598,3.2152, 0.167469
10.904,7.51078,3.27473, 0.180142
11.108,8.33835,3.30334, 0.19599
11.469,8.22302,3.35871, 0.188112
11.733,7.47371,3.40066, 0.16856
12.197,7.76018,3.46856, 0.166103
12.467,7.87891,3.50741, 0.165139
12.634,7.67002,3.53163, 0.161638
12.935,8.79678,3.57111, 0.182244
13.348,8.90088,3.62977, 0.172782
13.504,9.87798,3.64859, 0.191824
13.775,10.6383,3.68408, 0.202543
14.092,11.8615,3.72369, 0.22619
14.242,12.6954,3.74164, 0.242171
14.36,12.7984,3.75745, 0.24156
14.583,13.5891,3.78554, 0.252706
14.851,13.7908,3.82063, 0.253769
15.354,13.3706,3.8883, 0.235114
15.514,13.6598,3.90825, 0.239597
15.997,13.711,3.97042, 0.232792
16.343,13.7073,4.01468, 0.225353
16.58,13.7636,4.04418, 0.224605
16.692,14.2671,4.05726, 0.230601
16.966,14.6028,4.09111, 0.228768
17.367,14.9803,4.13918, 0.234144
17.744,14.8025,4.18533, 0.226982
17.864,14.4555,4.20077, 0.217516
18.239,13.6099,4.24739, 0.198626
18.481,14.1757,4.27517, 0.203934
18.776,14.4418,4.30952, 0.203967
19.041,14.7114,4.34018, 0.203795
19.197,14.8462,4.35838, 0.201514
19.363,15.1452,4.37683, 0.20638
19.499,15.41,4.39231, 0.206619
19.536,14.8007,4.39736, 0.199222
19.95,13.4615,4.44661, 0.177631
20.024,13.7634,4.45428, 0.18337
20.185,14.0588,4.47233, 0.183214
20.456,14.1021,4.50278, 0.180924
20.615,13.2828,4.52177, 0.168588
20.78,13.6196,4.53965, 0.171629
20.939,13.0013,4.55822, 0.161582
21.043,13.4152,4.56927, 0.164777
21.246,14.0675,4.59059, 0.172517
21.437,14.2041,4.61123, 0.173546
21.525,13.7274,4.62183, 0.163738
21.776,13.3118,4.64958, 0.157412
21.879,13.7004,4.66016, 0.161874
22.146,14.4068,4.68798, 0.1688
22.41,15.0439,4.71544, 0.174683
22.526,14.9054,4.72801, 0.17196
22.782,14.3625,4.75598, 0.162714
22.966,14.4569,4.77533, 0.162198
23.443,14.3467,4.8256, 0.156538
23.597,14.8886,4.84102, 0.161509
23.927,16.6136,4.87331, 0.177833
24.096,17.7248,4.88965, 0.187373
24.235,18.1158,4.90346, 0.191125
24.469,17.589,4.92802, 0.183606
24.925,17.5034,4.97452, 0.179221
25.121,17.1443,4.99479, 0.173105
25.485,16.6678,5.0318, 0.166049
25.814,17.4974,5.06378, 0.172196
25.866,16.9541,5.06973, 0.16389
25.823,17.5457,5.06483, 0.170542
26.085,17.5758,5.09075, 0.169307
26.261,18.4729,5.10736, 0.175952
26.555,19.343,5.13532, 0.183508
26.687,19.869,5.14765, 0.188755
26.831,19.8224,5.16171, 0.187792
26.989,20.5669,5.17635, 0.194467
27.305,20.648,5.20685, 0.193776
27.488,21.3259,5.22388, 0.199136
27.58,21.0716,5.23299, 0.19596
27.575,22.0043,5.2319, 0.202361
27.822,21.7883,5.25582, 0.198424
27.975,21.8644,5.27044, 0.197534
27.914,21.8726,5.26468, 0.197179
28.469,22.387,5.31698, 0.198765
28.803,22.8282,5.348, 0.201976
28.806,24.0844,5.3472, 0.213521
28.542,24.2381,5.32225, 0.21568
28.798,23.3672,5.3471, 0.206566
29.004,23.348,5.36648, 0.204922
28.854,22.7767,5.35304, 0.199062
28.788,22.945,5.34684, 0.199303
28.834,24.3543,5.35022, 0.209254
29.239,24.7179,5.38777, 0.211072
29.413,22.6725,5.40561, 0.192426
29.583,22.6151,5.4215, 0.190437
29.672,23.4864,5.42894, 0.198617
29.975,24.0744,5.45649, 0.20176
30.175,22.2103,5.47618, 0.186572
30.295,21.89,5.48753, 0.182111
30.47,22.1011,5.5034, 0.182608
30.822,22.3043,5.53546, 0.180778
31.034,23.1128,5.5542, 0.184969
30.928,23.5248,5.54435, 0.188292
30.914,23.9866,5.54283, 0.191128
30.954,22.8099,5.54723, 0.182314
30.901,22.6373,5.54256, 0.181138
31.292,23.0708,5.57761, 0.182436
31.643,25.4676,5.60742, 0.200023
31.747,25.989,5.61632, 0.204039
31.718,26.1925,5.6136, 0.205582
31.928,25.9708,5.6326, 0.201981
31.907,25.5163,5.63115, 0.197298
32.178,25.7523,5.65507, 0.198339
32.519,26.5536,5.68472, 0.203059
32.837,25.2745,5.71356, 0.192374
33.18,25.7417,5.74321, 0.195622
33.365,25.4177,5.75947, 0.193561
33.58,25.4636,5.77826, 0.191789
33.545,25.092,5.77547, 0.189046
33.652,25.9769,5.78417, 0.195496
33.96,26.4905,5.81067, 0.196113
33.928,26.1128,5.80805, 0.194586
34.241,26.8149,5.83475, 0.196681
34.28,27.4136,5.83781, 0.200082
34.243,27.5819,5.83451, 0.201604
34.281,26.672,5.83822, 0.196267
34.718,25.4785,5.87647, 0.185168
34.93,25.9391,5.89422, 0.188319
35.119,25.0109,5.91088, 0.180574
35.284,25.0453,5.92488, 0.179872
35.401,24.6102,5.93506, 0.176173
35.564,24.0099,5.94923, 0.170679
35.828,23.2884,5.97188, 0.164654
36.032,26.719,5.98693, 0.188774
35.959,24.0255,5.98239, 0.170056
35.951,25.6806,5.98083, 0.18077
36.132,24.1966,5.99699, 0.168145
36.442,23.4186,6.02332, 0.16171
36.507,24.2279,6.02834, 0.166256
36.842,24.133,6.0563, 0.163393
36.843,24.6004,6.05609, 0.16686
37.07,24.6191,6.07486, 0.166135
37.248,23.8365,6.08995, 0.160591
37.58,23.5776,6.11739, 0.15751
37.607,24.4186,6.11912, 0.163508
37.71,23.2738,6.12816, 0.155726
37.876,24.6967,6.14103, 0.163808
37.763,24.3528,6.13197, 0.162071
37.683,23.9185,6.12569, 0.159046
