mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.123,0.107871,0.123, 0.107871
0.225,0.236378,0.206841, 0.182219
0.285,0.301777,0.257765, 0.218556
0.351,0.369799,0.311367, 0.254052
0.462,0.450557,0.405772, 0.29735
0.567,0.587514,0.477644, 0.338859
0.682,0.774881,0.54807, 0.381622
0.815,0.85878,0.647156, 0.396192
0.959,0.991323,0.74276, 0.407306
1.064,1.1219,0.801168, 0.422127
1.098,1.0704,0.833206, 0.403766
1.217,1.17591,0.902951, 0.401676
1.278,1.24471,0.93797, 0.398208
1.364,1.3695,0.977286, 0.408908
1.492,1.54393,1.02778, 0.43566
1.542,1.62624,1.04791, 0.443875
1.673,1.67807,1.12158, 0.415059
1.8,1.794,1.16999, 0.431113
1.87,1.8231,1.20672, 0.413816
1.971,1.92217,1.24629, 0.417754
2.109,2.00711,1.31221, 0.387087
2.148,2.01609,1.33077, 0.377051
2.346,2.10829,1.40942, 0.359525
2.466,2.23884,1.45684, 0.34362
2.5,2.398,1.46007, 0.368184
2.536,2.46072,1.47901, 0.348513
2.535,2.36677,1.48732, 0.322853
2.622,2.16912,1.53183, 0.275497
2.733,2.23771,1.57294, 0.25886
2.793,2.28816,1.59077, 0.262434
2.92,2.3556,1.63091, 0.260113
3.061,2.37528,1.6765, 0.250327
3.256,2.50246,1.73281, 0.253363
3.424,2.62023,1.77926, 0.258212
3.531,2.64905,1.81635, 0.231867
3.678,2.77032,1.85425, 0.239751
3.707,2.73515,1.86658, 0.222864
3.824,2.78502,1.89956, 0.215674
3.847,2.88161,1.90522, 0.21714
3.962,3.11056,1.93423, 0.220766
4.089,3.28707,1.96358, 0.233364
4.229,3.58859,1.99683, 0.241671
4.346,3.85628,2.02406, 0.249184
4.478,3.99152,2.05824, 0.241648
4.602,4.1476,2.08634, 0.249185
4.732,4.16417,2.12024, 0.23657
4.812,4.07667,2.14016, 0.231685
4.916,3.79696,2.1684, 0.214016
5.046,3.96988,2.19825, 0.213658
5.091,4.21671,2.20685, 0.2208
5.179,4.44296,2.22457, 0.23028
5.319,4.49525,2.25643, 0.227491
5.426,4.64853,2.27912, 0.231589
5.606,5.00276,2.3168, 0.238438
5.765,5.30578,2.34791, 0.252272
5.803,5.13219,2.35806, 0.242532
5.894,4.99476,2.37967, 0.23113
5.87,4.97909,2.37371, 0.235492
5.976,4.71342,2.40133, 0.209603
5.942,4.63265,2.39573, 0.202454
5.964,4.93069,2.39804, 0.213378
6.098,5.29439,2.42443, 0.220088
6.255,5.55397,2.45614, 0.222349
6.201,5.44859,2.44489, 0.223487
6.287,5.66662,2.46124, 0.229266
6.369,5.81284,2.47679, 0.234464
6.589,6.41208,2.51796, 0.248862
6.851,6.97279,2.5676, 0.258393
6.879,7.19037,2.57107, 0.268579
7.07,7.51909,2.60539, 0.28192
7.193,7.93975,2.62651, 0.294424
7.176,7.86501,2.62349, 0.29331
7.262,7.80536,2.64174, 0.283189
7.404,7.81879,2.66985, 0.275865
7.324,7.55902,2.65593, 0.270033
7.382,7.9101,2.66402, 0.284995
7.477,8.36748,2.68025, 0.29326
7.54,8.30241,2.69127, 0.29702
7.723,8.19629,2.72553, 0.294463
7.81,8.64589,2.73821, 0.312162
7.651,8.85315,2.70468, 0.33569
7.694,8.86838,2.71358, 0.330492
7.987,9.19684,2.76627, 0.334729
8.193,8.85574,2.80697, 0.313889
8.105,9.12197,2.78806, 0.331721
8.337,9.17344,2.83099, 0.322481
8.379,9.31136,2.83828, 0.32315
8.543,9.38215,2.86884, 0.312771
8.712,9.49707,2.89816, 0.312635
8.803,9.28818,2.91433, 0.309685
8.864,9.36152,2.9261, 0.30193
9.069,9.95028,2.95848, 0.316381
9.132,10.0606,2.96932, 0.315129
9.257,10.507,2.98972, 0.318573
9.401,10.8082,3.01255, 0.325505
9.438,10.9261,3.01681, 0.336874
9.644,11.3573,3.04899, 0.347661
9.753,11.272,3.06955, 0.330883
9.578,11.3159,3.03913, 0.341667
9.569,11.6332,3.03584, 0.352657
9.696,12.3936,3.0533, 0.373347
9.715,12.7638,3.05519, 0.380776
9.939,13.4913,3.08907, 0.396648
9.869,14.2958,3.0742, 0.418258
10.005,14.159,3.09736, 0.411368
10.198,13.5588,3.13416, 0.375051
10.436,13.0079,3.17708, 0.342166
10.422,12.9059,3.1753, 0.339444
10.433,12.8315,3.17884, 0.327971
10.491,13.2359,3.18624, 0.33884
10.666,12.6384,3.21638, 0.320892
11.048,12.8517,3.27528, 0.320526
10.962,12.7486,3.26257, 0.317603
11.066,13.0256,3.27772, 0.32255
11.366,12.104,3.32861, 0.286328
11.476,12.8854,3.34315, 0.29932
11.633,13.3323,3.3653, 0.307745
11.821,13.059,3.39505, 0.294648
11.806,13.3824,3.3913, 0.305083
11.872,13.3056,3.40006, 0.311575
12.111,12.7427,3.43746, 0.294812
12.178,13.1883,3.44629, 0.301063
12.351,13.4378,3.47219, 0.294903
12.22,14.3296,3.44967, 0.319792
12.073,14.7456,3.42533, 0.340134
12.255,15.724,3.44924, 0.357702
12.483,16.4237,3.47957, 0.375567
12.582,16.9713,3.49267, 0.383219
12.916,16.6089,3.54395, 0.35638
13.102,16.4276,3.57222, 0.341238
13.152,17.4209,3.57706, 0.356655
13.303,17.0412,3.59978, 0.344587
13.324,16.855,3.6029, 0.34307
13.174,17.1377,3.5824, 0.34044
13.349,17.0031,3.60776, 0.333088
13.221,17.0901,3.58925, 0.338285
13.517,16.5317,3.63235, 0.323032
13.72,16.5416,3.66044, 0.321166
13.761,17.1359,3.6646, 0.331749
13.595,17.519,3.6411, 0.33741
13.674,17.4217,3.653, 0.329579
13.822,18.5843,3.67021, 0.351579
13.959,18.8515,3.68799, 0.357766
13.956,19.0821,3.68691, 0.362711
13.74,18.7484,3.65832, 0.356687
13.797,19.8517,3.66354, 0.375461
13.97,19.9331,3.68799, 0.368721
14.213,20.0976,3.72123, 0.365473
14.265,20.5388,3.72736, 0.37183
14.606,20.4367,3.77376, 0.364775
14.687,21.2269,3.78317, 0.374649
14.8,20.876,3.79926, 0.365688
15.035,21.3518,3.82958, 0.369349
15.059,21.7835,3.83205, 0.3744
15.205,21.927,3.85117, 0.373481
15.264,20.5363,3.86238, 0.346049
15.279,21.7551,3.86147, 0.368025
15.256,21.6945,3.85895, 0.36453
15.44,21.9044,3.88264, 0.365102
15.732,22.3262,3.91987, 0.366575
15.805,22.5609,3.92876, 0.369809
15.783,22.8219,3.92483, 0.378694
15.639,22.4706,3.90728, 0.372191
15.661,22.2441,3.91082, 0.366473
15.672,23.0764,3.91066, 0.378768
15.585,21.4887,3.90317, 0.350261
15.609,20.7601,3.90798, 0.336652
15.54,19.4183,3.90211, 0.313511
