mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.28,0.2016,0.28, 0.2016
0.575,0.398377,0.529894, 0.294212
0.858,0.575836,0.732856, 0.320922
1.137,0.744234,0.909842, 0.309183
1.378,0.951115,1.03065, 0.315744
1.681,1.07123,1.18474, 0.277392
2.018,1.26968,1.3314, 0.24537
2.324,1.58903,1.43633, 0.260946
2.681,1.84324,1.56234, 0.240094
3.037,2.03963,1.6727, 0.239069
3.335,2.31277,1.76112, 0.233432
3.588,2.41225,1.83344, 0.226499
3.898,2.50559,1.9235, 0.198128
4.214,2.94221,1.99957, 0.215711
4.468,3.19897,2.05767, 0.233995
4.7,3.62999,2.10754, 0.258248
4.963,3.64565,2.17439, 0.235006
5.287,3.65261,2.25164, 0.217113
5.504,3.91398,2.29938, 0.216827
5.853,4.2394,2.37438, 0.215274
6.278,4.34472,2.46751, 0.18936
6.501,4.112,2.51709, 0.16522
6.693,4.31074,2.55446, 0.167699
6.922,4.20793,2.60106, 0.156463
7.181,4.12623,2.65139, 0.151124
7.332,4.52777,2.67748, 0.163043
7.523,4.80147,2.71183, 0.168926
7.73,5.02909,2.74886, 0.173709
7.979,5.05859,2.79489, 0.167585
8.294,5.61956,2.84884, 0.178096
8.549,5.74961,2.8933, 0.177797
8.763,5.71285,2.9309, 0.172809
8.972,5.65122,2.9677, 0.164743
9.305,5.85798,3.02321, 0.165181
9.547,6.1078,3.06285, 0.165925
9.757,6.46997,3.09608, 0.171286
9.887,6.94422,3.11549, 0.18069
10.19,6.82189,3.16524, 0.171265
10.486,7.35579,3.21045, 0.179024
10.876,7.12261,3.27222, 0.168585
11.183,7.07951,3.31966, 0.162856
11.46,7.32441,3.36068, 0.165874
11.646,8.00475,3.38661, 0.176904
11.722,8.22473,3.39704, 0.182124
12.114,8.16905,3.45533, 0.174686
12.457,8.16214,3.50549, 0.168554
12.796,8.19638,3.55399, 0.16518
13.219,9.155,3.61104, 0.179416
13.566,9.08564,3.65941, 0.174703
13.885,9.14376,3.70281, 0.17418
14.02,9.1216,3.72112, 0.173267
14.453,9.33379,3.77932, 0.169742
14.869,8.71984,3.83593, 0.154625
15.021,9.41254,3.85444, 0.164296
15.189,9.33528,3.8764, 0.162519
15.363,10.1772,3.89718, 0.175014
15.581,10.1434,3.92552, 0.171311
15.832,10.8578,3.95581, 0.183585
16.264,10.1503,4.01213, 0.166821
16.408,10.9675,4.02852, 0.179024
16.734,10.3212,4.07035, 0.166236
16.926,11.3785,4.09222, 0.179724
17.22,11.8256,4.1275, 0.183732
17.268,12.5422,4.13198, 0.19478
17.525,12.2734,4.16399, 0.186211
17.799,11.4846,4.19861, 0.170648
17.821,12.153,4.20011, 0.180098
18.045,12.641,4.22624, 0.183891
18.21,12.5999,4.24601, 0.18142
18.5,13.15,4.27949, 0.185991
18.827,12.7171,4.31854, 0.177187
19.268,12.5302,4.37002, 0.170924
19.627,12.0859,4.41216, 0.159839
19.809,13.4265,4.43072, 0.177717
20.195,13.625,4.47428, 0.175819
20.426,15.4745,4.4976, 0.197574
20.782,16.4325,4.53601, 0.206629
21.335,16.6908,4.59689, 0.203585
21.633,16.3163,4.6301, 0.195204
21.873,17.0629,4.65514, 0.202633
21.97,17.1931,4.66525, 0.205496
22.441,16.9305,4.71636, 0.196936
22.724,17.9958,4.74515, 0.207511
22.878,18.5871,4.76072, 0.213543
22.946,19.0811,4.76747, 0.217292
23.167,19.7011,4.79002, 0.22269
23.272,20.482,4.80013, 0.230737
23.202,21.4472,4.79108, 0.247618
23.411,23.5361,4.81034, 0.271721
23.84,22.3484,4.85714, 0.248209
24.24,21.5384,4.89937, 0.236225
24.492,21.8639,4.92501, 0.236312
24.639,23.0566,4.93858, 0.249499
24.864,23.8835,4.96059, 0.256534
25.267,24.0957,5.00113, 0.255702
25.517,23.4717,5.02707, 0.245669
25.876,23.9787,5.06239, 0.248299
25.845,26.037,5.05708, 0.270982
26.04,25.9645,5.07634, 0.270767
26.381,23.9918,5.1124, 0.24443
26.562,22.0941,5.13219, 0.222642
26.726,21.5729,5.14872, 0.216764
26.859,22.5471,5.16096, 0.223581
27.066,23.5556,5.18015, 0.232154
27.063,25.213,5.17829, 0.248398
27.199,24.1014,5.19271, 0.234816
27.322,24.5543,5.20428, 0.237542
27.553,24.3852,5.22693, 0.232265
27.921,26.1968,5.26062, 0.246939
28.033,26.8959,5.27086, 0.251141
28.183,27.2295,5.28475, 0.254558
28.445,25.1929,5.31144, 0.233654
28.715,26.0898,5.33607, 0.241456
28.978,25.9395,5.36105, 0.237115
29.234,25.7212,5.38545, 0.230906
29.184,26.8182,5.3798, 0.241742
29.364,24.5995,5.3986, 0.219267
29.389,25.1436,5.40065, 0.222008
29.741,24.8319,5.43362, 0.216842
30.089,23.7891,5.46651, 0.206414
29.985,23.8528,5.45692, 0.207097
30.404,23.5868,5.49558, 0.20262
30.659,23.8867,5.51854, 0.204731
30.87,22.7772,5.53847, 0.195414
31.233,21.9167,5.57195, 0.186484
31.373,22.9258,5.58366, 0.195768
31.684,21.8601,5.61248, 0.184113
31.878,21.3111,5.63028, 0.178012
32.209,19.4893,5.66123, 0.159509
32.415,20.8467,5.67841, 0.170848
32.657,20.4813,5.70005, 0.166486
32.614,22.143,5.69488, 0.182501
32.919,22.4224,5.72157, 0.182687
33.032,20.253,5.73315, 0.163105
33.164,22.4572,5.74305, 0.181532
33.16,22.8084,5.74255, 0.18325
33.297,22.8148,5.75455, 0.182286
33.617,23.1583,5.7821, 0.184379
33.743,23.5989,5.7929, 0.185427
33.74,23.7824,5.79266, 0.185138
33.885,25.0558,5.80444, 0.193526
34.222,24.3107,5.83416, 0.184659
34.637,23.2432,5.87053, 0.17396
34.819,23.1782,5.88603, 0.173724
35.138,23.141,5.91316, 0.172497
35.206,22.3516,5.91954, 0.165081
35.536,23.4007,5.94673, 0.172518
35.586,24.2927,5.95047, 0.177983
35.866,24.928,5.97379, 0.179896
36.204,26.4844,6.00106, 0.191363
36.506,26.192,6.02664, 0.185635
36.912,26.9002,6.06005, 0.18795
36.755,28.5309,6.04601, 0.200893
36.902,27.3424,6.05886, 0.192416
37.163,27.9805,6.08014, 0.195074
37.431,27.3592,6.1027, 0.188218
37.528,29.2271,6.10961, 0.200908
37.766,29.4333,6.12894, 0.202299
38.078,27.7119,6.15542, 0.188956
38.428,26.8589,6.18431, 0.182514
38.692,26.1571,6.20612, 0.17621
38.982,25.0657,6.23012, 0.16771
39.259,25.4959,6.25218, 0.169431
39.548,23.4237,6.27647, 0.154122
39.878,24.4351,6.3022, 0.160427
40.116,25.3365,6.3206, 0.166136
40.302,26.0127,6.33507, 0.169069
40.318,25.8409,6.33647, 0.167322
40.601,27.3598,6.35812, 0.175574
40.948,28.9893,6.38462, 0.184766
41.007,28.853,6.38934, 0.183589
41.282,28.1225,6.41124, 0.178185
41.343,29.1393,6.41558, 0.183576
41.604,29.8912,6.43563, 0.186872
41.924,28.1082,6.46168, 0.170832
42.216,28.7033,6.48404, 0.173442
42.333,28.4363,6.49325, 0.170921
42.03,28.0471,6.47006, 0.168561
42.411,27.7561,6.49971, 0.165075
42.754,27.3054,6.52635, 0.160922
43.225,27.0324,6.56262, 0.157366
43.394,26.2607,6.57591, 0.15161
43.652,27.6309,6.59503, 0.157839
43.81,26.0879,6.60766, 0.149028
43.942,25.7766,6.61783, 0.146512
44.081,26.8864,6.62786, 0.152672
44.309,26.8555,6.64511, 0.151715
44.654,25.9843,6.67151, 0.145191
44.642,26.5698,6.67037, 0.14835
44.963,26.1356,6.69468, 0.144461
45.309,26.3655,6.72042, 0.145115
45.295,24.858,6.71998, 0.137049
45.31,24.1579,6.72142, 0.132714
45.374,24.0142,6.72625, 0.131751
45.582,23.2632,6.7421, 0.126324
45.653,23.9306,6.7471, 0.12989
45.829,23.4477,6.7603, 0.1276
46.397,22.9554,6.80246, 0.123806
46.728,23.298,6.82663, 0.125265
46.757,23.0779,6.82888, 0.12364
47.19,23.6199,6.86036, 0.125636
47.524,24.2214,6.88447, 0.128214
47.744,23.5165,6.90075, 0.123823
47.86,24.2804,6.90888, 0.127545
48.243,24.8499,6.93636, 0.130078
48.16,24.8604,6.93037, 0.130195
47.965,23.9038,6.9166, 0.125732
48.243,25.7119,6.93604, 0.134561
48.316,28.2521,6.94038, 0.147233
48.465,28.2448,6.95115, 0.14661
48.647,29.5144,6.96379, 0.152697
49.075,29.6133,6.99445, 0.152794
49.039,29.8895,6.99179, 0.154011
49.31,28.2359,7.01176, 0.145368
49.691,28.5455,7.03885, 0.145602
49.663,27.2055,7.03735, 0.138782
49.872,27.1096,7.05229, 0.137265
49.659,24.5287,7.03806, 0.124708
49.722,23.5108,7.0429, 0.119663
49.835,23.4658,7.05095, 0.119224
49.954,21.3719,7.06021, 0.107488
50.672,22.0144,7.11073, 0.109628
50.603,20.9434,7.10626, 0.104104
50.721,20.8471,7.11462, 0.103199
51.048,20.4077,7.13776, 0.10057
51.068,20.3014,7.13923, 0.0994379
51.385,19.8108,7.16157, 0.0969441
51.442,20.0086,7.1655, 0.0976232
51.611,20.2937,7.17723, 0.098576
51.806,20.6304,7.1907, 0.0999758
51.792,20.2526,7.18986, 0.0979856
52.161,19.7511,7.2157, 0.0949006
52.127,18.6908,7.21369, 0.0898248
52.113,18.1522,7.21287, 0.0875544
52.254,17.7114,7.22279, 0.0854727
52.549,17.3296,7.24333, 0.0831871
