mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.09,0.0819002,0.09, 0.0819002
0.194,0.172366,0.189314, 0.158162
0.278,0.246717,0.264527, 0.208027
0.388,0.353455,0.356472, 0.260929
0.465,0.396774,0.424588, 0.284726
0.562,0.502157,0.492892, 0.31906
0.632,0.570576,0.542301, 0.337911
0.757,0.71595,0.62036, 0.372153
0.816,0.802143,0.654094, 0.388159
0.875,0.849375,0.690745, 0.397873
1.009,0.954912,0.780553, 0.399733
1.119,1.06284,0.843528, 0.407456
1.231,1.23964,0.895441, 0.429182
1.384,1.37055,0.975388, 0.432615
1.444,1.45886,1.00161, 0.440767
1.504,1.62198,1.02399, 0.455438
1.669,1.66944,1.11203, 0.432377
1.734,1.67724,1.15158, 0.407861
1.884,1.73254,1.22077, 0.393716
1.954,1.73589,1.25422, 0.380923
2.028,1.90921,1.27, 0.415104
2.181,2.21024,1.31889, 0.441524
2.353,2.31639,1.39061, 0.419201
2.441,2.34653,1.43066, 0.394204
2.493,2.39995,1.44999, 0.390521
2.58,2.65361,1.47335, 0.409233
2.649,2.95779,1.48507, 0.443543
2.773,2.95546,1.53999, 0.401405
2.854,3.13866,1.56281, 0.411612
2.937,3.35702,1.57701, 0.450022
3.003,3.59499,1.59053, 0.473216
3.045,3.90298,1.5911, 0.513377
3.249,3.96701,1.67427, 0.445816
3.44,4.1464,1.7301, 0.446734
3.572,4.50281,1.75708, 0.484664
3.684,4.49014,1.7912, 0.475576
3.685,4.59176,1.79371, 0.467593
3.73,4.89309,1.79945, 0.491974
3.878,5.10111,1.84001, 0.492358
4.004,5.12999,1.88233, 0.460798
3.907,5.01437,1.8474, 0.494088
4.029,5.38817,1.8822, 0.486317
4.041,5.28931,1.89196, 0.461481
4.113,5.07823,1.91704, 0.437958
4.216,5.22936,1.94488, 0.43342
4.304,5.47559,1.96964, 0.424509
4.418,5.35728,2.00623, 0.393034
4.599,5.38222,2.0542, 0.379238
4.748,5.52048,2.09335, 0.36586
4.792,5.34075,2.11252, 0.329257
4.851,5.55079,2.12511, 0.334895
4.93,5.8111,2.14076, 0.347113
4.872,6.10163,2.12275, 0.365924
4.855,5.70996,2.1256, 0.336806
5.071,5.69198,2.179, 0.322949
5.168,5.70378,2.20078, 0.324543
5.398,5.97559,2.25092, 0.331356
5.334,5.85844,2.23702, 0.329708
5.277,5.61827,2.222, 0.339702
5.364,5.66148,2.24923, 0.304923
5.529,6.25516,2.28345, 0.314818
5.738,6.51735,2.32836, 0.31673
5.697,6.55119,2.3189, 0.319658
5.933,6.17451,2.37538, 0.290538
6.06,6.2264,2.40276, 0.286712
6.094,6.51713,2.40821, 0.294486
6.169,6.63643,2.42264, 0.299778
6.233,7.25872,2.43197, 0.318522
6.283,7.17092,2.44525, 0.303715
6.33,6.86509,2.45729, 0.291689
6.392,6.27833,2.47553, 0.263713
6.501,5.92999,2.50215, 0.240222
6.763,6.04085,2.55546, 0.232624
6.786,6.1182,2.55838, 0.240665
6.961,6.32948,2.59138, 0.245726
7.141,6.67713,2.62378, 0.256757
7.317,6.79851,2.65815, 0.251216
7.307,6.50475,2.65895, 0.236955
7.534,7.22484,2.69729, 0.258582
7.474,6.60133,2.69067, 0.234276
7.498,6.48599,2.69646, 0.227058
7.626,6.85813,2.71895, 0.233276
7.571,6.74096,2.70963, 0.228876
7.637,6.63922,2.72276, 0.22357
7.697,6.6292,2.73469, 0.218424
7.821,6.74696,2.75737, 0.217915
7.929,7.17998,2.77454, 0.230898
8.035,7.29778,2.79282, 0.235137
8.025,7.04436,2.79302, 0.22403
8.176,7.33303,2.81867, 0.231106
8.391,7.45811,2.85624, 0.232856
8.507,7.23394,2.87838, 0.221943
8.674,7.25173,2.90764, 0.219601
8.821,7.78497,2.9305, 0.233176
9.021,7.4786,2.96645, 0.221196
9.238,7.46735,3.00342, 0.217469
9.213,7.34363,2.99934, 0.216985
9.324,7.36904,3.0179, 0.216282
9.47,7.6931,3.0404, 0.22595
9.67,7.35908,3.07595, 0.20855
9.627,6.66388,3.07218, 0.188729
9.734,6.71725,3.08975, 0.187422
9.763,6.98886,3.09314, 0.195468
9.73,7.23507,3.08715, 0.199492
9.648,7.50012,3.07219, 0.209648
9.894,7.24276,3.11378, 0.198357
10.089,7.44308,3.14452, 0.201017
10.167,7.42307,3.15708, 0.199849
10.124,7.57862,3.14962, 0.203871
10.242,8.20141,3.16639, 0.215978
10.416,8.11293,3.19459, 0.210622
10.522,8.46553,3.21035, 0.215656
10.746,8.74949,3.24478, 0.217405
10.726,8.62892,3.24214, 0.214553
10.748,8.68448,3.2457, 0.213419
10.804,8.88158,3.25378, 0.21693
10.997,8.33899,3.28607, 0.198731
11.09,8.73991,3.29915, 0.205608
11.158,8.82703,3.30924, 0.20697
11.301,8.84241,3.33078, 0.206944
11.337,8.67344,3.33652, 0.204625
11.422,8.55192,3.34992, 0.200033
11.814,8.20741,3.41028, 0.183999
12.061,8.13928,3.44685, 0.180241
12.095,8.04796,3.452, 0.178741
12.168,8.2218,3.46223, 0.181012
12.431,8.24925,3.50055, 0.177149
12.433,8.35552,3.50062, 0.178691
12.571,8.11497,3.52125, 0.171858
12.699,7.67241,3.54096, 0.160597
12.843,7.88234,3.5609, 0.163021
12.803,7.97219,3.55482, 0.166267
12.976,8.67942,3.57717, 0.179888
13.195,7.89496,3.61046, 0.159619
13.31,7.72392,3.62718, 0.153607
13.482,7.89569,3.65032, 0.157201
13.637,7.52523,3.67304, 0.145806
13.645,7.87496,3.67296, 0.154352
13.745,7.50198,3.68775, 0.145524
13.917,7.34208,3.71174, 0.14002
14.099,7.02323,3.73709, 0.133171
14.16,7.2024,3.74493, 0.135526
14.225,7.24437,3.7536, 0.135524
14.414,7.79263,3.77743, 0.145031
14.416,7.79893,3.77772, 0.14488
14.633,7.44833,3.80783, 0.133472
14.541,7.2103,3.79619, 0.129994
14.83,7.2051,3.83441, 0.127318
14.919,7.72244,3.84483, 0.136317
15.023,7.83045,3.85824, 0.136974
15.149,7.59279,3.87529, 0.131139
15.435,7.52578,3.91243, 0.12789
15.52,7.95162,3.92261, 0.13317
15.629,7.73137,3.93703, 0.128806
15.746,7.9115,3.95181, 0.129229
15.796,8.27237,3.95744, 0.134665
15.863,8.71823,3.96499, 0.141881
16.023,8.76647,3.98502, 0.142635
16.185,9.07679,4.00487, 0.146029
16.312,8.79666,4.02148, 0.139718
16.395,8.92901,4.0316, 0.141182
16.254,9.23948,4.01333, 0.147194
16.446,9.3191,4.03718, 0.147161
16.587,10.2624,4.05293, 0.160735
16.618,10.6201,4.05607, 0.166302
16.743,10.353,4.07204, 0.161479
17.037,10.6436,4.10763, 0.16437
17.041,11.0154,4.10753, 0.169222
17.188,12.2706,4.12317, 0.187494
17.336,12.2311,4.14129, 0.185672
