mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.08,0.0736004,0.08, 0.0736004
0.201,0.180599,0.195142, 0.16292
0.284,0.237344,0.274531, 0.208632
0.372,0.299616,0.352669, 0.247624
0.453,0.375789,0.416978, 0.279131
0.572,0.500816,0.50485, 0.317127
0.695,0.627975,0.59448, 0.341594
0.807,0.73975,0.674128, 0.35255
0.853,0.743389,0.703335, 0.358319
0.89,0.7939,0.723805, 0.366105
1.018,0.841671,0.808175, 0.364851
1.072,0.920816,0.838085, 0.369609
1.195,1.02297,0.906324, 0.373574
1.307,1.06675,0.974886, 0.356594
1.386,1.15101,1.00593, 0.374101
1.499,1.17,1.06969, 0.354765
1.567,1.17351,1.10731, 0.340852
1.676,1.29103,1.15934, 0.331919
1.741,1.35992,1.19071, 0.323194
1.83,1.44709,1.22856, 0.320629
1.885,1.46977,1.26055, 0.296003
1.941,1.66152,1.26835, 0.332275
1.998,1.682,1.2922, 0.328211
2.115,1.77976,1.33464, 0.333739
2.193,1.93375,1.35743, 0.350364
2.278,1.96872,1.39163, 0.341367
2.327,2.05808,1.40893, 0.34192
2.383,2.17232,1.42553, 0.350842
2.516,2.23174,1.47612, 0.337057
2.588,2.28625,1.50746, 0.315545
2.721,2.43317,1.54823, 0.323965
2.747,2.38299,1.56002, 0.313328
2.907,2.53635,1.61352, 0.303537
3.026,2.70736,1.65484, 0.287491
3.107,2.83555,1.67566, 0.299157
3.283,2.7909,1.73431, 0.275166
3.377,2.72688,1.76725, 0.253797
3.508,2.69193,1.80799, 0.239157
3.639,2.86267,1.84671, 0.228653
3.726,2.94093,1.8723, 0.220482
3.843,3.05636,1.90394, 0.217997
3.859,3.01912,1.90787, 0.219031
4.022,3.15352,1.94891, 0.223724
4.088,3.17027,1.96522, 0.225894
4.211,3.26448,1.99679, 0.223815
4.323,3.29865,2.02688, 0.214753
4.379,3.42936,2.04097, 0.213422
4.512,3.71985,2.06889, 0.231693
4.588,3.75024,2.08777, 0.2292
4.644,3.90725,2.09964, 0.235493
4.731,3.97263,2.12053, 0.234318
4.824,3.99102,2.14401, 0.227192
4.92,3.9856,2.16676, 0.225138
5.023,4.08448,2.1903, 0.225551
5.029,4.05016,2.19236, 0.222511
5.276,4.04582,2.25017, 0.212693
5.288,3.94905,2.25472, 0.204201
5.463,4.22662,2.29254, 0.207226
5.657,4.19535,2.33615, 0.199371
5.777,4.32528,2.36128, 0.201305
5.953,4.50679,2.39892, 0.198131
5.963,4.56564,2.40014, 0.20231
6.058,4.81065,2.41813, 0.210612
6.159,4.97972,2.43875, 0.211465
6.171,4.93975,2.44192, 0.207984
6.294,4.78955,2.46898, 0.198114
6.411,4.66408,2.49451, 0.188382
6.629,4.67737,2.53854, 0.184756
6.741,4.69192,2.56081, 0.183218
6.818,4.90489,2.57439, 0.19048
7.046,5.06588,2.61801, 0.191993
7.074,5.00851,2.62406, 0.188298
7.123,4.84387,2.63504, 0.179545
7.252,5.13049,2.6575, 0.189669
7.324,5.28302,2.67041, 0.192907
7.418,5.24728,2.68837, 0.19064
7.316,5.30815,2.66889, 0.193
7.372,5.44162,2.67906, 0.194585
7.61,5.41191,2.7238, 0.190866
7.673,5.45608,2.73531, 0.191062
7.834,5.34642,2.76614, 0.18241
7.948,5.09533,2.7888, 0.170585
8.071,5.35197,2.80922, 0.179266
8.119,5.35484,2.81804, 0.177611
8.169,5.34243,2.82695, 0.177313
8.345,5.508,2.85724, 0.181177
8.574,5.82254,2.89657, 0.183842
8.613,6.08724,2.90228, 0.18972
8.718,5.7205,2.92278, 0.175308
8.773,6.04547,2.93019, 0.186933
8.807,5.77376,2.93747, 0.178231
8.919,5.85444,2.95629, 0.179335
8.982,5.94767,2.96682, 0.179946
9.03,5.8191,2.97532, 0.177459
8.926,6.11251,2.95639, 0.185776
9.039,6.27348,2.97482, 0.18943
9.161,6.16908,2.99599, 0.185049
9.467,5.86491,3.04949, 0.167619
9.64,6.1124,3.07715, 0.17114
9.812,5.99663,3.10598, 0.164856
9.887,5.66022,3.11954, 0.155467
9.956,5.77006,3.12995, 0.159388
9.987,5.80883,3.13404, 0.164774
10.065,5.53877,3.14869, 0.15073
10.145,5.51796,3.16166, 0.148922
10.141,5.08512,3.16299, 0.136492
10.164,5.52311,3.16456, 0.14955
10.324,5.72903,3.18951, 0.151082
10.401,5.74622,3.20098, 0.154737
10.51,5.89393,3.21737, 0.15859
10.595,6.48898,3.22796, 0.175291
10.583,6.55707,3.22618, 0.174789
10.838,6.59375,3.26592, 0.171822
11.012,7.06385,3.29132, 0.17926
11.123,7.42187,3.30732, 0.184657
11.171,7.50975,3.314, 0.18846
11.314,7.27141,3.33666, 0.180705
11.32,7.66959,3.33576, 0.19277
11.51,8.54796,3.36153, 0.210141
11.426,8.61854,3.34901, 0.210212
11.595,9.52499,3.37148, 0.228184
11.784,9.30536,3.40076, 0.218867
11.963,9.75763,3.42612, 0.224717
12.284,9.37132,3.47447, 0.212089
12.319,9.80126,3.4786, 0.218388
12.338,10.4958,3.47869, 0.236766
12.559,10.5245,3.51133, 0.229576
12.666,10.9564,3.52538, 0.237706
12.713,11.0286,3.53245, 0.234781
12.812,11.3106,3.54573, 0.239802
12.856,11.5212,3.55134, 0.244019
12.849,11.5442,3.54962, 0.249176
13.01,11.1999,3.57415, 0.235471
13.202,11.3572,3.60107, 0.234314
13.302,11.3048,3.61486, 0.234801
13.279,10.7571,3.61341, 0.222302
13.43,11.0271,3.63421, 0.222566
13.554,11.9891,3.6488, 0.240274
13.484,11.4758,3.64093, 0.227679
13.735,12.2108,3.67368, 0.239068
13.95,12.4955,3.70308, 0.237201
13.913,12.7334,3.69708, 0.24463
14.002,12.2,3.71062, 0.233301
14.104,12.1711,3.72473, 0.230418
