mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.482,0.249678,0.482, 0.249678
1.017,0.486708,0.869379, 0.261174
1.568,0.707377,1.15868, 0.225446
2.087,1.02943,1.36752, 0.216863
2.538,1.35256,1.5257, 0.210233
3.06,1.62439,1.69352, 0.191976
3.541,1.88432,1.8362, 0.169376
4.04,2.14439,1.97136, 0.153723
4.475,2.44738,2.07741, 0.15934
4.903,2.8016,2.17831, 0.157952
5.326,2.82972,2.27639, 0.144015
5.853,3.1834,2.3898, 0.141811
6.336,3.36509,2.48904, 0.140618
6.867,3.68331,2.59357, 0.140385
7.435,3.88979,2.70122, 0.138359
7.955,3.98897,2.79734, 0.129835
8.275,3.99738,2.85509, 0.123427
8.775,4.15638,2.94222, 0.118318
9.304,4.42559,3.03069, 0.118883
9.716,4.56734,3.09812, 0.117666
10.278,4.83073,3.18766, 0.116837
10.721,4.85516,3.25696, 0.113209
11.297,5.55079,3.34254, 0.124446
11.727,5.81646,3.40593, 0.126691
12.355,6.11897,3.49683, 0.127231
12.742,6.08744,3.55216, 0.124224
13.139,6.1457,3.60798, 0.12151
13.641,6.01411,3.67814, 0.1123
14.075,6.67739,3.73524, 0.122993
14.48,6.51562,3.79007, 0.115391
14.729,6.67951,3.82241, 0.118161
15.079,6.66877,3.8684, 0.114495
15.566,6.98163,3.93057, 0.116581
16.118,7.3321,3.99993, 0.118587
16.647,8.04638,4.06442, 0.127487
17.018,7.97966,4.11022, 0.124098
17.465,8.07078,4.16456, 0.121408
17.735,8.12679,4.19712, 0.119154
18.184,8.53415,4.25001, 0.121392
18.519,8.46163,4.28965, 0.11793
19.082,8.6053,4.35499, 0.116018
19.543,8.60015,4.40793, 0.113117
20.116,8.77056,4.47271, 0.110839
20.491,8.63991,4.5148, 0.107602
21.105,9.63397,4.58128, 0.116896
21.639,10.1747,4.63884, 0.120184
22.154,10.0943,4.69438, 0.116817
22.475,10.9314,4.72758, 0.125011
23.14,11.7524,4.79677, 0.130994
23.469,11.265,4.8317, 0.123682
24.027,11.6883,4.88894, 0.125322
24.328,11.8284,4.91952, 0.126339
24.676,12.059,4.95465, 0.127475
25.141,11.6911,5.00206, 0.120513
25.48,12.3836,5.03535, 0.125236
26.028,12.2332,5.08993, 0.120723
26.574,12.4845,5.14331, 0.120465
27.016,12.7617,5.186, 0.121475
27.243,13.1439,5.20762, 0.123795
27.644,14.1333,5.24517, 0.132263
28.333,13.8042,5.31102, 0.12612
28.654,14.0063,5.34111, 0.126645
29.224,14.9258,5.3936, 0.133212
29.533,14.6309,5.42263, 0.128206
29.962,14.7126,5.4622, 0.126547
30.198,15.2028,5.48353, 0.128991
30.791,15.4674,5.53734, 0.128852
31.512,15.2379,5.6024, 0.125189
31.901,15.6433,5.6369, 0.126396
32.495,16.538,5.68891, 0.13137
32.907,16.5983,5.7251, 0.130233
33.103,16.7344,5.74217, 0.130546
33.5,17.128,5.77644, 0.132799
33.982,16.8157,5.81848, 0.127413
34.304,17.4116,5.84578, 0.130954
34.951,17.1706,5.90125, 0.126361
35.353,16.4824,5.93573, 0.120264
35.841,16.3857,5.97691, 0.117785
36.342,15.829,6.01915, 0.112009
36.995,16.183,6.07303, 0.113452
37.366,16.528,6.10344, 0.114264
37.629,18.0654,6.12417, 0.123783
37.765,18.2058,6.13531, 0.123161
38.254,17.0935,6.17579, 0.113859
38.65,16.9995,6.20796, 0.111456
39.239,17.8559,6.25491, 0.115245
39.553,18.2752,6.27983, 0.117028
39.823,19.8697,6.30055, 0.126178
40.243,19.4499,6.33413, 0.121945
40.351,20.2418,6.34228, 0.126484
40.838,20.3558,6.38058, 0.126301
41.058,19.6626,6.39826, 0.120375
41.346,20.8743,6.42024, 0.126654
41.782,21.4825,6.45393, 0.129021
42.147,21.2614,6.48232, 0.126683
42.675,21.6374,6.5229, 0.127005
43.142,22.4878,6.55834, 0.130459
43.488,23.0418,6.58448, 0.132748
43.883,22.2893,6.61484, 0.127147
43.995,22.841,6.62308, 0.129926
44.154,21.9143,6.63554, 0.123788
44.264,22.1043,6.64377, 0.124493
44.421,21.7857,6.65579, 0.121675
44.637,20.0952,6.67277, 0.11131
44.737,19.4138,6.68054, 0.107537
45.043,19.4152,6.70348, 0.106526
45.214,21.1102,6.71561, 0.114778
45.582,23.3912,6.74216, 0.125539
45.698,22.1568,6.75126, 0.118645
45.964,22.1547,6.77101, 0.117645
46.272,21.296,6.79406, 0.112963
46.596,20.9828,6.81804, 0.110512
46.94,21.5244,6.84309, 0.11225
47.326,20.8037,6.87155, 0.107927
47.361,20.5486,6.87416, 0.107062
