mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.9,0.09,0.9, 0.09
1.791,0.20732,1.31533, 0.0608765
2.703,0.27879,1.6333, 0.0353275
3.63,0.379102,1.89694, 0.0316261
4.515,0.503778,2.11725, 0.0322718
5.453,0.571786,2.32882, 0.0295465
6.342,0.679036,2.51249, 0.0293631
7.266,0.835245,2.68967, 0.0315928
8.118,1.06808,2.84286, 0.0361015
8.956,1.29807,2.98605, 0.039498
9.83,1.3911,3.12921, 0.0380899
10.71,1.4559,3.26705, 0.0364408
11.657,1.49136,3.40922, 0.0342571
12.449,1.7514,3.52297, 0.0376629
13.292,2.05272,3.64019, 0.0410743
14.171,2.38177,3.75854, 0.0444429
14.99,2.4859,3.86607, 0.0435269
15.833,2.71109,3.97342, 0.0449081
16.802,2.88882,4.09348, 0.0454254
17.728,2.78202,4.20556, 0.0412583
18.632,3.00457,4.31155, 0.0425368
19.519,2.97764,4.41349, 0.0400833
20.432,3.60137,4.51501, 0.0466824
21.376,3.67063,4.6185, 0.0454409
22.131,3.99383,4.69931, 0.0474545
23.009,4.29892,4.79165, 0.0491242
23.79,4.5799,4.87229, 0.0507384
24.586,4.63063,4.95343, 0.0495328
25.404,5.08478,5.03499, 0.0529506
26.121,5.26636,5.10566, 0.0532872
27.051,4.98839,5.19646, 0.0479087
27.854,4.81268,5.2735, 0.0442772
28.714,5.22421,5.35418, 0.046841
29.46,5.3424,5.42342, 0.0466405
30.3,5.216,5.50055, 0.0440527
30.978,5.32752,5.56186, 0.0438302
31.791,5.69331,5.63432, 0.0455838
32.534,6.16884,5.69963, 0.0483007
33.4,6.65599,5.77489, 0.0506164
34.195,6.87896,5.84329, 0.0509368
34.957,7.17716,5.90805, 0.051943
35.688,7.56863,5.96945, 0.0536483
36.674,7.34372,6.05173, 0.0506867
37.335,7.44678,6.10612, 0.0504706
38.091,7.6307,6.16767, 0.0510032
38.898,7.87761,6.23273, 0.0513785
39.63,8.18709,6.29109, 0.052552
40.469,8.715,6.35724, 0.0548626
41.397,8.62139,6.42999, 0.0526323
42.326,8.93174,6.50178, 0.0532823
42.971,8.80817,6.55133, 0.0513666
43.848,8.69491,6.61804, 0.0497495
44.435,9.23978,6.66206, 0.0521482
45.279,9.46515,6.72509, 0.052249
46.092,9.60753,6.78529, 0.0520342
46.803,9.64419,6.83752, 0.0514667
47.617,9.84231,6.89676, 0.0517505
48.293,10.4072,6.94544, 0.0539256
48.998,10.172,6.99616, 0.0519074
49.618,9.30607,7.04067, 0.0470915
50.53,8.85711,7.10537, 0.043955
51.32,9.21759,7.16065, 0.0451398
52.015,8.87278,7.2092, 0.0427463
52.662,9.02778,7.25392, 0.0428673
53.531,9.67902,7.31341, 0.0453157
54.272,10.2941,7.36374, 0.0475487
54.811,11.2153,7.39996, 0.0515905
55.617,10.6183,7.45445, 0.0480415
56.464,10.7567,7.51105, 0.0480936
57.147,11.4734,7.55623, 0.0504173
57.679,11.938,7.59125, 0.0518471
58.375,12.3504,7.63689, 0.0528842
59.236,12.6803,7.69301, 0.0534068
59.973,13.2683,7.74065, 0.0552297
60.86,13.2024,7.79779, 0.0542266
61.606,13.5068,7.84547, 0.0546514
62.234,14.0053,7.88529, 0.0560846
62.872,13.5256,7.9258, 0.0536858
63.445,14.617,7.96162, 0.0574713
64.131,14.8938,8.00456, 0.0577744
64.829,15.7598,8.0479, 0.0604844
65.441,15.1985,8.08599, 0.0579402
66.162,15.4218,8.13043, 0.0583624
66.843,16.5023,8.172, 0.0617278
67.672,16.0364,8.22272, 0.0591042
68.287,15.9526,8.26009, 0.0581721
69.068,15.0614,8.30746, 0.0543215
69.66,14.3524,8.34319, 0.051434
70.478,14.4755,8.39209, 0.051257
71.142,13.7799,8.43172, 0.0483491
71.865,14.7708,8.47431, 0.0512301
72.383,14.7423,8.50484, 0.0509109
73.021,16.3824,8.54196, 0.0561538
73.645,17.819,8.57815, 0.0604604
74.739,19.2189,8.64146, 0.0641728
75.28,19.4736,8.67268, 0.0646241
76.109,18.7191,8.72052, 0.0613548
76.873,19.0709,8.76419, 0.0618251
77.583,21.0191,8.80426, 0.0677365
78.256,22.9185,8.8421, 0.0730558
79.004,21.898,8.88452, 0.0691653
79.513,22.9238,8.91296, 0.0719794
80.255,25.208,8.95412, 0.078464
80.638,25.449,8.97544, 0.0791347
81.299,25.8556,9.01216, 0.0797079
82.114,24.943,9.05748, 0.0759027
82.715,25.7937,9.09046, 0.0780818
83.395,25.725,9.12785, 0.0768541
84.131,25.9778,9.16809, 0.0770138
84.706,26.5335,9.19931, 0.078583
85.592,26.1195,9.24743, 0.076519
86.375,26.2964,9.28967, 0.0766334
87.143,27.0665,9.33085, 0.0781015
88.076,26.7622,9.38079, 0.0763452
88.644,29.1053,9.41069, 0.0825291
89.065,31.3808,9.43273, 0.0882696
89.898,32.1616,9.4767, 0.0897571
90.938,33.1621,9.53133, 0.091491
91.084,34.1792,9.53884, 0.094115
91.718,33.9504,9.5721, 0.092569
92.116,32.3005,9.59312, 0.0875899
92.927,32.0016,9.63539, 0.0858476
93.651,30.3291,9.67316, 0.0805644
94.148,30.8101,9.69878, 0.0811877
94.547,28.8758,9.71961, 0.0756984
95.079,29.4088,9.74689, 0.0767688
96.025,31.7324,9.79503, 0.0820558
96.574,30.9725,9.82313, 0.0799318
97.45,30.9515,9.86766, 0.079084
98.412,31.5722,9.91623, 0.0800082
98.993,30.505,9.94565, 0.0768591
99.933,31.0565,9.99276, 0.0776005
100.621,31.2814,10.0271, 0.0777442
101.527,31.2212,10.0722, 0.0771124
102.122,32.3191,10.1016, 0.0793298
102.428,32.6568,10.1167, 0.0798819
103.093,36.4483,10.1491, 0.0887158
103.567,35.9455,10.1725, 0.0868678
104.097,34.7515,10.1987, 0.0833142
104.514,36.3099,10.219, 0.0868224
105.21,36.64,10.253, 0.087144
105.818,37.2689,10.2825, 0.087969
106.444,38.0288,10.3129, 0.0892521
107.372,35.3017,10.3581, 0.0821779
108.042,34.7263,10.3905, 0.0802373
108.557,33.5467,10.4154, 0.0769817
108.995,32.559,10.4365, 0.0744971
109.691,32.5955,10.4698, 0.0741238
110.399,33.1598,10.5035, 0.075179
110.847,33.5496,10.5248, 0.0755016
111.128,34.2336,10.5381, 0.0767383
111.793,35.4222,10.5695, 0.0791162
112.844,34.1496,10.6193, 0.0754359
113.442,34.3246,10.6474, 0.0752701
114.017,33.7107,10.6745, 0.0734369
114.785,34.9208,10.7103, 0.0754057
115.268,36.4581,10.7327, 0.0782079
115.667,34.8723,10.7514, 0.074516
116.346,32.8723,10.7831, 0.0700503
116.849,31.7082,10.8066, 0.0673867
117.525,34.5114,10.8375, 0.0727298
118.21,33.408,10.8692, 0.0700892
118.794,34.3256,10.896, 0.0715341
119.418,32.7933,10.9247, 0.0680762
119.893,33.5036,10.9464, 0.0693522
120.537,34.5866,10.9757, 0.0711188
121.351,35.7138,11.0126, 0.0730111
121.814,34.8534,11.0337, 0.0708498
122.55,34.9254,11.067, 0.0706864
123.062,35.7781,11.0901, 0.0722184
123.751,36.2271,11.1211, 0.0728038
124.535,35.2268,11.1564, 0.0704131
125.059,36.8536,11.1797, 0.0734966
125.788,35.9811,11.2123, 0.0713251
126.327,35.0641,11.2364, 0.0692287
126.943,36.1097,11.2638, 0.0708522
127.762,35.5694,11.3001, 0.0694774
128.375,35.7184,11.3272, 0.0694536
129.072,34.7708,11.358, 0.0671619
129.306,32.8264,11.3685, 0.0633644
129.801,31.7354,11.3904, 0.0609569
130.455,32.724,11.4189, 0.0625556
131.065,31.8168,11.4457, 0.0605285
131.637,32.4972,11.4706, 0.0615508
132.037,33.7536,11.4879, 0.0637455
132.755,36.1829,11.519, 0.0680614
133.844,38.2015,11.566, 0.0712403
134.613,37.4612,11.5993, 0.0695421
134.851,40.8288,11.6093, 0.0755911
135.195,44.281,11.6238, 0.0817695
135.888,45.8915,11.6535, 0.0844286
136.774,45.9229,11.6915, 0.0839634
137.327,44.0041,11.7152, 0.0801375
137.496,43.8479,11.7225, 0.0798832
137.719,43.128,11.732, 0.0783173
137.955,45.831,11.7419, 0.0831557
138.352,47.0101,11.7587, 0.0850554
138.594,47.9012,11.7689, 0.0863549
139.883,49.7174,11.8235, 0.0891133
140.525,53.2095,11.8503, 0.0949832
140.812,53.8287,11.8624, 0.0957848
141.278,56.0226,11.8819, 0.0992638
141.572,57.0848,11.8942, 0.100903
142.205,60.6151,11.9205, 0.106851
142.795,59.577,11.9453, 0.104729
143.244,59.8905,11.9641, 0.104776
144.433,57.5535,12.0138, 0.100062
145.063,61.9631,12.0398, 0.107354
145.244,63.4165,12.0472, 0.109618
145.583,65.5932,12.0611, 0.113256
146.21,60.9058,12.0874, 0.104847
147.079,57.9787,12.1235, 0.0994591
147.385,59.2687,12.1361, 0.101354
148.005,59.991,12.1615, 0.10222
148.308,64.1312,12.1737, 0.109164
148.474,65.4593,12.1804, 0.111376
148.757,68.1419,12.1919, 0.115726
149.818,66.5988,12.2354, 0.112524
149.957,71.185,12.2408, 0.120178
150.463,72.5987,12.2614, 0.121901
150.253,76.917,12.2525, 0.128702
151.201,79.4666,12.291, 0.132101
151.371,81.3515,12.2978, 0.135055
152.13,72.9512,12.3292, 0.120792
152.908,74.0676,12.3607, 0.122264
153.479,73.9872,12.3838, 0.121875
153.897,70.0803,12.4009, 0.114927
154.512,67.7039,12.4258, 0.110543
155.16,70.4063,12.4517, 0.114227
155.79,67.4699,12.4772, 0.108913
156.731,67.1827,12.5149, 0.107744
157.727,64.2384,12.5549, 0.101988
158.347,64.5165,12.5796, 0.102052
158.613,67.2652,12.59, 0.106197
159.002,64.286,12.6056, 0.101236
159.648,61.1061,12.6314, 0.0957672
160.364,60.7335,12.6598, 0.0947346
161.051,59.2504,12.687, 0.0923413
161.776,62.1358,12.7153, 0.0967168
161.797,61.8037,12.7162, 0.0963307
162.101,64.1989,12.728, 0.0998271
162.977,65.2765,12.7623, 0.101005
162.937,66.2291,12.7607, 0.102456
163.45,65.9134,12.7808, 0.101364
164.047,65.6649,12.8042, 0.100746
164.567,64.6735,12.8245, 0.0989517
165.23,65.8612,12.8503, 0.100022
165.632,62.2405,12.8662, 0.0941764
166.269,60.8747,12.891, 0.0917367
166.948,58.6093,12.9174, 0.0880238
167.364,57.2735,12.9336, 0.0856684
167.84,58.7324,12.952, 0.0873659
168.302,57.6927,12.9699, 0.0856836
168.982,60.0496,12.9959, 0.0888174
169.63,60.9531,13.0208, 0.0898581
169.988,61.6818,13.0345, 0.0907
170.499,62.51,13.054, 0.0918191
170.943,60.7358,13.0711, 0.0890964
171.835,60.2837,13.1052, 0.0880245
172.111,60.3306,13.1158, 0.0877189
172.554,64.6931,13.1324, 0.0938656
172.899,63.2148,13.1456, 0.0914997
173.619,65.2258,13.1729, 0.0940944
173.862,72.087,13.1817, 0.103848
174.259,81.044,13.1963, 0.116505
175.245,83.1629,13.2335, 0.11901
176.004,78.026,13.2624, 0.111496
176.723,79.8604,13.2894, 0.113752
177.303,79.3332,13.3113, 0.112661
177.744,77.4144,13.328, 0.109801
177.664,85.517,13.3245, 0.121179
177.955,89.997,13.3352, 0.12726
178.598,83.2244,13.3597, 0.116977
179.065,83.2807,13.3772, 0.116894
180.081,83.2704,13.4151, 0.116537
180.495,90.418,13.4301, 0.126345
180.996,91.9559,13.4487, 0.128144
181.336,92.4148,13.4613, 0.12863
181.757,92.996,13.4769, 0.12905
182.446,85.8011,13.5029, 0.118648
182.871,91.0142,13.5183, 0.125555
183.455,91.116,13.5399, 0.125206
183.932,89.1593,13.5577, 0.122339
184.482,85.7796,13.5781, 0.117292
184.637,88.1191,13.5837, 0.120611
184.92,91.2636,13.5939, 0.12463
185.562,92.4821,13.6175, 0.125873
185.843,89.4143,13.628, 0.121416
186.5,90.286,13.652, 0.122308
