mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
0.483,0.249712,0.483, 0.249712
0.988,0.505856,0.843308, 0.276827
1.492,0.727935,1.12251, 0.231951
2.009,0.990909,1.34345, 0.204124
2.552,1.29529,1.53313, 0.201494
3.019,1.54064,1.68824, 0.168846
3.569,1.76124,1.84973, 0.147506
4.135,1.95077,1.99891, 0.139355
4.617,2.12232,2.1183, 0.129779
5.151,2.61419,2.23917, 0.137116
5.702,2.8712,2.35891, 0.137524
6.239,3.18588,2.46973, 0.139386
6.699,3.4044,2.56142, 0.138067
7.178,3.56432,2.65406, 0.133953
7.703,4.19276,2.74904, 0.145719
8.031,4.17005,2.80929, 0.138846
8.517,3.73972,2.89825, 0.11712
9.085,3.90979,2.99534, 0.112948
9.629,3.71937,3.08702, 0.0993289
10.16,4.0384,3.17127, 0.103087
10.701,4.3036,3.25534, 0.103771
11.233,4.32271,3.33665, 0.0997739
11.741,4.52192,3.41195, 0.0996439
12.261,4.49088,3.48795, 0.0952509
12.742,4.87544,3.55553, 0.100272
13.238,5.30135,3.62362, 0.107375
13.65,5.3335,3.68022, 0.106031
14.123,6.18987,3.74206, 0.119998
14.614,6.06498,3.80778, 0.114813
15.236,6.06629,3.88953, 0.107582
15.712,6.46307,3.94997, 0.109736
16.269,6.42263,4.02054, 0.104248
16.624,6.13863,4.06559, 0.0949991
17.152,6.09891,4.13077, 0.0887392
17.725,6.21336,4.1998, 0.0867011
18.321,6.04795,4.27066, 0.082448
18.756,6.11048,4.32139, 0.0815355
19.151,5.89819,4.36736, 0.0771754
19.553,6.45717,4.41246, 0.0832066
20.143,7.34656,4.4777, 0.0931669
20.618,7.45409,4.53067, 0.0910335
20.974,7.29332,4.57033, 0.0860256
21.456,6.98407,4.62338, 0.0803529
21.969,7.64405,4.67793, 0.0859619
22.526,8.25134,4.73661, 0.0905542
22.962,8.86856,4.78192, 0.0952758
23.481,8.82964,4.8361, 0.0931484
24.107,8.75955,4.90063, 0.0908646
24.642,9.02583,4.95486, 0.0913994
25.023,8.85048,4.99347, 0.0882797
25.34,8.51039,5.02558, 0.0836144
25.833,8.78909,5.07432, 0.0843928
26.338,9.15776,5.12361, 0.0867239
26.939,9.17929,5.18204, 0.0855446
27.24,9.37041,5.21095, 0.0861539
27.848,8.92492,5.26947, 0.0807522
28.531,9.69103,5.33339, 0.0860592
29.1,10.078,5.38636, 0.0872488
29.599,9.81818,5.43286, 0.0831895
30.102,10.0196,5.47894, 0.0833942
30.546,10.1539,5.51926, 0.0838142
31.043,9.59118,5.56467, 0.0774685
31.564,9.45391,5.61152, 0.0748807
31.837,9.05843,5.63608, 0.0715921
32.082,8.6813,5.65807, 0.0683127
32.494,9.00197,5.69424, 0.0697084
32.885,9.76777,5.72807, 0.0742483
33.362,10.623,5.76911, 0.0794769
33.889,11.5907,5.81408, 0.0855807
34.426,11.7605,5.86006, 0.0857622
34.89,12.2319,5.89931, 0.0882459
35.457,12.2282,5.94728, 0.087003
35.821,12.0249,5.978, 0.0845992
36.234,12.6973,6.01213, 0.0884204
36.443,13.3027,6.02919, 0.0918957
36.703,13.2468,6.05086, 0.0901441
37.028,12.5772,6.07813, 0.0844305
37.546,12.5359,6.12073, 0.0827945
37.903,12.3436,6.15001, 0.0805038
38.561,12.9262,6.20309, 0.0828004
39.014,13.2478,6.23938, 0.0842868
39.436,13.7599,6.2729, 0.086986
39.82,14.4676,6.30315, 0.0905167
40.319,14.6053,6.34261, 0.0905179
40.92,14.7816,6.38982, 0.0904323
41.293,15.8092,6.41851, 0.095852
41.575,14.8064,6.44097, 0.0890205
41.977,13.8685,6.47261, 0.0825433
42.383,13.5903,6.50407, 0.0802695
42.928,13.0668,6.54614, 0.076278
43.411,12.9401,6.58304, 0.0748158
44.009,12.9329,6.62834, 0.0741167
44.307,13.1188,6.65072, 0.0749543
44.752,14.8465,6.68343, 0.0839221
45.182,16.2229,6.71502, 0.0907494
46.021,16.3484,6.77723, 0.090132
46.439,17.4043,6.80764, 0.0952149
46.798,18.3292,6.83365, 0.0993804
47.303,19.7432,6.87004, 0.10572
47.869,19.0658,6.91144, 0.101203
48.495,19.66,6.95644, 0.103231
48.919,21.2704,6.9863, 0.110956
49.575,21.7064,7.03306, 0.111272
50.091,21.5387,7.06981, 0.109003
50.687,22.175,7.11169, 0.111074
51.077,22.9251,7.13886, 0.113914
51.525,22.6654,7.1703, 0.111816
51.748,24.2185,7.18536, 0.118808
52.195,26.3469,7.21576, 0.127732
52.662,25.7517,7.2483, 0.124181
53.203,25.4857,7.28567, 0.121821
53.555,26.4829,7.30957, 0.125205
53.98,27.9416,7.33819, 0.130943
54.577,28.066,7.3788, 0.130299
55.075,28.5713,7.41241, 0.131092
55.689,29.5563,7.45354, 0.133641
56.056,28.1649,7.47857, 0.127035
56.352,30.8101,7.4976, 0.137933
56.791,29.4551,7.52731, 0.130611
57.302,30.0207,7.56104, 0.13254
57.728,30.306,7.58915, 0.132739
58.336,28.7751,7.6296, 0.125177
58.88,29.3996,7.66505, 0.126916
59.357,27.4256,7.69674, 0.117068
59.655,29.148,7.7156, 0.124454
60.127,31.4288,7.74561, 0.132479
60.517,32.0917,7.77065, 0.134094
60.771,32.8925,7.78677, 0.137129
61.426,33.9845,7.8285, 0.140635
62.085,33.2839,7.87075, 0.136217
62.479,33.8714,7.89564, 0.137714
63.296,35.1564,7.94701, 0.141076
63.79,35.11,7.97806, 0.140583
63.843,34.3563,7.98158, 0.137356
64.383,35.0303,8.01519, 0.139748
64.985,36.1088,8.05244, 0.143359
65.622,33.9671,8.09256, 0.132648
66.41,32.332,8.14161, 0.124357
66.922,33.8938,8.17267, 0.1298
67.322,32.8203,8.19739, 0.125092
67.778,33.6728,8.22505, 0.126834
68.13,32.5151,8.24673, 0.121631
68.559,35.3086,8.27215, 0.130683
69.28,34.4876,8.31591, 0.125811
69.29,35.9079,8.3162, 0.130963
69.902,34.1204,8.35332, 0.124172
70.483,33.1297,8.38832, 0.119288
71.063,30.717,8.42337, 0.109859
71.457,29.9082,8.44695, 0.106078
71.825,29.6483,8.46879, 0.104708
72.198,30.2888,8.49068, 0.106339
72.876,31.0427,8.53041, 0.108222
73.439,29.3683,8.56375, 0.101377
73.821,27.9049,8.58636, 0.0953901
74.312,27.6546,8.61501, 0.0937735
75.014,26.6077,8.6559, 0.0894338
75.704,28.4603,8.69536, 0.0947089
75.92,28.7516,8.70773, 0.0953146
76.292,31.775,8.72856, 0.10424
76.779,31.1242,8.75651, 0.102425
76.93,31.5131,8.76504, 0.103853
77.277,32.1983,8.78472, 0.105492
77.785,32.2128,8.81362, 0.105009
78.259,35.1699,8.83995, 0.114053
78.996,34.3339,8.88175, 0.110314
79.243,33.952,8.89574, 0.108591
79.79,35.2919,8.92625, 0.111819
80.34,33.5484,8.95734, 0.105661
80.735,34.5288,8.97922, 0.108202
81.347,35.3046,9.01314, 0.1099
81.761,38.1639,9.03565, 0.117697
82.33,38.6971,9.06703, 0.118654
83.096,37.9567,9.10934, 0.115732
83.334,39.1866,9.12222, 0.118993
84.023,38.9365,9.16, 0.117158
84.414,39.5587,9.18125, 0.118263
84.817,40.9255,9.20302, 0.121258
85.149,43.5408,9.22066, 0.128312
85.803,45.4042,9.25582, 0.132702
85.941,43.8055,9.26351, 0.128111
86.708,42.1949,9.30511, 0.122684
86.979,44.9326,9.31927, 0.130066
87.357,46.1135,9.33937, 0.132825
88.13,44.7712,9.38094, 0.127553
88.373,44.674,9.39394, 0.126656
88.822,45.4523,9.41773, 0.128078
89.192,47.0531,9.43716, 0.131581
89.638,46.059,9.46092, 0.12845
90.007,48.5129,9.48008, 0.134696
90.191,48.7666,9.48976, 0.135011
90.726,46.955,9.51821, 0.129254
91.025,45.5965,9.53414, 0.124632
91.371,45.3534,9.55234, 0.123475
91.539,44.6724,9.56121, 0.121699
92.109,45.9671,9.59084, 0.124308
92.605,48.947,9.61626, 0.132162
93.217,47.6059,9.64825, 0.127863
93.856,47.8272,9.68132, 0.127672
94.365,46.2977,9.70783, 0.122532
94.992,49.4479,9.7397, 0.129931
95.832,47.5335,9.78304, 0.12366
96.071,49.136,9.79506, 0.127447
96.772,50.438,9.83066, 0.129846
96.705,53.3339,9.82691, 0.136763
97.291,55.1787,9.85648, 0.140679
97.758,57.6774,9.87986, 0.146355
98.025,60.6284,9.89298, 0.153752
98.314,62.0014,9.90742, 0.156694
98.687,61.3431,9.92636, 0.154267
99.159,59.3837,9.95038, 0.148787
99.589,56.5101,9.97234, 0.141315
99.512,55.8039,9.96858, 0.139465
100.179,58.2689,10.0017, 0.144177
100.677,55.9486,10.0269, 0.138075
101.041,55.1329,10.0452, 0.135404
101.549,52.0297,10.0708, 0.127087
101.718,53.7005,10.079, 0.130666
102.187,51.6019,10.1025, 0.12518
102.779,55.2341,10.1314, 0.133729
103.422,52.8219,10.1634, 0.127923
103.714,54.0002,10.1776, 0.130414
104.068,52.6534,10.1952, 0.126815
104.361,49.7706,10.2099, 0.119083
104.461,52.1563,10.2145, 0.124375
105.177,53.4978,10.2494, 0.126598
105.138,54.175,10.2474, 0.128111
105.571,55.0849,10.2685, 0.129467
105.946,54.3792,10.2868, 0.126979
106.272,53.5241,10.3028, 0.124557
106.893,51.8755,10.3331, 0.120172
107.358,50.6838,10.3557, 0.117559
107.439,49.7363,10.3597, 0.115009
107.864,51.6815,10.3801, 0.118755
108.271,52.9736,10.3995, 0.121433
108.405,52.175,10.4061, 0.11914
108.921,50.4067,10.431, 0.114851
109.596,50.1288,10.4634, 0.113731
109.935,51.2568,10.4795, 0.116082
110.448,49.0695,10.5042, 0.110784
110.51,49.3198,10.5071, 0.111371
111.103,49.2944,10.5353, 0.110789
111.049,49.8226,10.5327, 0.112021
111.464,51.3547,10.5522, 0.115063
111.948,52.8354,10.575, 0.117969
112.329,55.4048,10.5927, 0.123259
112.474,55.1633,10.5996, 0.122656
113.619,56.2179,10.6534, 0.124267
114.247,54.654,10.6831, 0.119872
114.758,55.3655,10.7069, 0.12076
115.322,57.4903,10.733, 0.125349
115.582,58.0517,10.7451, 0.126097
116.048,56.6656,10.7669, 0.122851
116.367,58.0584,10.7815, 0.125694
116.49,57.5619,10.7873, 0.124354
116.515,59.3578,10.7883, 0.127958
116.679,60.88,10.7958, 0.130582
116.941,62.7015,10.8077, 0.133775
117.757,63.7419,10.8454, 0.135492
118.174,67.4496,10.8642, 0.143001
118.722,66.0945,10.8896, 0.139472
119.06,67.8864,10.9049, 0.142548
119.139,66.5657,10.9087, 0.139575
119.702,65.4252,10.9346, 0.136619
120.419,64.2455,10.9675, 0.133368
121.206,68.2676,11.003, 0.140914
121.807,67.6718,11.0303, 0.138709
122.45,68.2114,11.0594, 0.139083
123.025,67.0484,11.0855, 0.13628
123.753,71.05,11.118, 0.143594
124.182,69.7268,11.1374, 0.140549
124.364,73.6015,11.1452, 0.148131
125.091,74.5266,11.1777, 0.149474
125.649,73.2439,11.2028, 0.146728
126.824,74.1949,11.255, 0.147814
126.918,76.5078,11.259, 0.152101
127.168,79.878,11.2699, 0.158247
127.58,78.7196,11.2882, 0.155429
128.161,79.8031,11.3139, 0.156642
128.528,79.7572,11.3301, 0.156014
128.88,78.8295,11.3458, 0.153768
128.939,81.7993,11.3481, 0.159321
129.989,84.8248,11.3941, 0.164602
130.764,82.5344,11.4282, 0.159363
131.416,84.6606,11.4566, 0.162525
131.555,81.683,11.4629, 0.156185
132.329,82.7948,11.4966, 0.157472
132.658,85.375,11.5107, 0.162282
133.258,81.8214,11.537, 0.155158
133.774,80.061,11.5595, 0.151223
134.669,84.3754,11.5979, 0.158606
135.448,81.5835,11.6316, 0.152798
135.993,87.6509,11.6546, 0.163431
136.703,77.1548,11.6859, 0.142933
137.846,73.8982,11.735, 0.136061
138.328,73.9524,11.7555, 0.135263
138.484,73.4037,11.7622, 0.133975
138.81,75.2659,11.7759, 0.137117
138.987,80.1828,11.7831, 0.145722
139.21,80.114,11.7926, 0.145047
139.692,80.7511,11.813, 0.14564
140.128,81.5216,11.8314, 0.146507
140.723,79.9182,11.8567, 0.142802
141.324,77.733,11.8821, 0.138365
142.139,79.3957,11.9163, 0.140809
142.491,83.7719,11.9307, 0.148065
142.693,82.7289,11.9393, 0.145963
143.661,81.3881,11.9799, 0.142756
143.938,77.4681,11.9918, 0.135285
144.435,78.2618,12.0124, 0.136318
145.056,80.1168,12.0381, 0.13918
145.528,78.9313,12.0578, 0.136796
146.138,80.081,12.083, 0.138144
146.826,79.9298,12.1115, 0.137636
146.98,84.7857,12.1175, 0.146084
147.021,85.5466,12.1191, 0.147417
147.511,81.812,12.1396, 0.140731
147.476,86.0934,12.1378, 0.148334
