1,0,1
1.41421,1.42109e-14,2
1.73205,1.42109e-14,3
2,0,4
2.23607,5.68434e-14,5
2.44949,0,6
2.64575,5.68434e-14,7
2.82843,5.68434e-14,8
3,0,9
3.16228,5.68434e-14,10
3.31663,5.68434e-14,11
3.4641,5.68434e-14,12
3.60555,0,13
3.74166,5.68434e-14,14
3.87298,0,15
4,0,16
4.12311,2.27374e-13,17
4.24264,2.27374e-13,18
4.3589,2.27374e-13,19
4.47214,2.27374e-13,20
4.58258,2.27374e-13,21
4.67963,0.00104665,21.9
4.78529,0.00100012,22.9
4.89898,0,24
5,0,25
5.09902,2.27374e-13,26
5.17654,0.00346281,26.8
5.27225,0.00333447,27.8
5.36626,0.00321532,28.8
5.47723,0,30
5.56776,0,31
5.65685,2.27374e-13,32
5.74456,2.27374e-13,33
5.83095,0,34
5.91608,0,35
6,0,36
6.08276,2.27374e-13,37
6.16441,0,38
6.245,2.27374e-13,39
6.32455,2.27374e-13,40
6.38731,0.00225036,40.8
6.48074,0,42
6.55744,2.27374e-13,43
6.63325,2.27374e-13,44
6.70071,0.00050563,44.9
6.77492,0.000494523,45.9
6.84099,0.000860242,46.8
6.9282,2.27374e-13,48
7,0,49
7.07107,0,50
7.12032,0.00103963,50.7
7.19717,0.000776715,51.8
7.25941,0.00100002,52.7
7.29346,0.00550134,53.2
7.34125,0.0059977,53.9
7.38874,0.00658657,54.6
7.42242,0.00761242,55.1
7.49621,0.00689924,56.2
7.57592,0.0053771,57.4
7.62862,0.00409452,58.2
7.68708,0.00884107,59.1
7.72582,0.0117128,59.7
7.83481,0.0157419,61.4
7.84131,0.0139295,61.5
7.8986,0.0120966,62.4
8.02432,0.010337,64.4
8.06159,0.0108071,65
8.11121,0.00824532,65.8
8.17263,0.00812131,66.8
8.21533,0.0083343,67.5
8.26398,0.00661411,68.3
8.35443,0.00345987,69.8
8.39633,0.0016034,70.5
8.46754,0.000734275,71.7
8.50861,0.00362797,72.4
8.55539,0.00537421,73.2
8.637,0.00216229,74.6
8.68895,0.00216566,75.5
8.74055,0.00276325,76.4
8.80897,0.00207798,77.6
8.86555,0.00205136,78.6
8.90491,0.00256282,79.3
8.96646,0.00262512,80.4
9.03316,0.0019754,81.6
9.08838,0.00133928,82.6
9.15418,0.00108437,83.8
9.20319,0.00121904,84.7
9.22997,0.00762011,85.2
9.27321,0.00764125,86
9.33769,0.00744287,87.2
9.38034,0.0092303,88
9.42821,0.00881261,88.9
9.53414,0.000248628,90.9
9.58121,0.000437159,91.8
9.63325,0.000432434,92.8
9.69019,0.000240645,93.9
9.73648,0.000957476,94.8
9.74666,0.00263165,95
9.757,0.00093752,95.2
9.77736,0.00323551,95.6
9.78256,0.0015898,95.7
9.82338,0.00116181,96.5
9.87924,0.000615391,97.6
9.94484,0.000228422,98.9
9.98997,0.00040202,99.8
10.0399,0.000900024,100.8
10.0995,9.09495e-13,102
10.1489,9.09495e-13,103
10.198,9.09495e-13,104
